generation,phase,best_fitness,avg_fitness,median_fitness,best_delta,median_delta,global_best_fitness,n_species,n_connections_best,n_hidden_best,elapsed_sec
33,0,0.554267,0.503266,0.527467,0.554267,0.527467,0.554267,185,13,3,0.12
34,0,0.554267,0.503687,0.527467,0.554267,0.527467,0.554267,189,13,3,0.13
35,0,0.554267,0.501686,0.527467,0.554267,0.527467,0.554267,188,13,3,0.13
36,0,0.554967,0.502060,0.527467,0.554967,0.527467,0.554967,189,12,5,0.13
37,0,0.556500,0.502281,0.527467,0.556500,0.527467,0.556500,191,12,3,0.13
38,0,0.556500,0.505202,0.527500,0.556500,0.527500,0.556500,200,12,3,0.13
39,0,0.574367,0.509353,0.527500,0.574367,0.527500,0.574367,201,14,5,0.13
40,0,0.574367,0.507573,0.527500,0.574367,0.527500,0.574367,212,14,5,0.13
41,0,0.574367,0.512717,0.527733,0.574367,0.527733,0.574367,213,14,5,0.14
42,0,0.576600,0.513194,0.529233,0.576600,0.529233,0.576600,212,12,5,0.13
43,0,0.576600,0.515404,0.529233,0.576600,0.529233,0.576600,218,12,5,0.13
44,0,0.576600,0.519205,0.545700,0.576600,0.545700,0.576600,209,12,5,0.14
45,0,0.576600,0.524497,0.554267,0.576600,0.554267,0.576600,200,14,4,0.13
46,0,0.576600,0.526453,0.554967,0.576600,0.554967,0.576600,191,14,4,0.14
47,0,0.576633,0.531577,0.556433,0.576633,0.556433,0.576633,195,20,6,0.14
48,0,0.576633,0.535401,0.561467,0.576633,0.561467,0.576633,181,20,6,0.14
49,0,0.576633,0.535828,0.574167,0.576633,0.574167,0.576633,174,15,5,0.14
50,0,0.577100,0.537539,0.574367,0.577100,0.574367,0.577100,180,16,4,0.14
51,0,0.577100,0.535637,0.574400,0.577100,0.574400,0.577100,194,16,4,0.14
52,0,0.577100,0.538765,0.576600,0.577100,0.576600,0.577100,186,16,4,0.15
53,0,0.577100,0.539316,0.576600,0.577100,0.576600,0.577100,187,16,4,0.14
54,0,0.577100,0.540150,0.576600,0.577100,0.576600,0.577100,217,16,4,0.15
55,0,0.577100,0.539337,0.576600,0.577100,0.576600,0.577100,212,16,4,0.15
56,0,0.577133,0.541710,0.576600,0.577133,0.576600,0.577133,222,17,7,0.15
57,0,0.577133,0.538624,0.576633,0.577133,0.576633,0.577133,224,17,7,0.14
58,0,0.577133,0.544544,0.576633,0.577133,0.576633,0.577133,215,17,7,0.14
59,0,0.577133,0.540839,0.576700,0.577133,0.576700,0.577133,224,21,8,0.15
60,0,0.577133,0.543518,0.577100,0.577133,0.577100,0.577133,237,21,8,0.15
61,0,0.577133,0.545130,0.577100,0.577133,0.577100,0.577133,236,22,7,0.15
62,0,0.577133,0.546454,0.577100,0.577133,0.577100,0.577133,241,22,7,0.15
63,0,0.577133,0.545027,0.577100,0.577133,0.577100,0.577133,244,22,7,0.15
64,0,0.577133,0.549629,0.577100,0.577133,0.577100,0.577133,246,22,7,0.16
65,0,0.577133,0.550042,0.577100,0.577133,0.577100,0.577133,259,22,7,0.16
66,0,0.577133,0.553249,0.577100,0.577133,0.577100,0.577133,260,22,7,0.15
67,0,0.577133,0.553687,0.577100,0.577133,0.577100,0.577133,243,18,7,0.15
68,0,0.577133,0.552286,0.577100,0.577133,0.577100,0.577133,239,18,7,0.16
69,0,0.577133,0.551310,0.577133,0.577133,0.577133,0.577133,219,18,7,0.16
70,0,0.577133,0.548371,0.577133,0.577133,0.577133,0.577133,212,18,7,0.16
71,0,0.577133,0.551403,0.577133,0.577133,0.577133,0.577133,212,18,7,0.16
72,0,0.577133,0.551181,0.577133,0.577133,0.577133,0.577133,231,22,7,0.16
73,0,0.577133,0.551423,0.577133,0.577133,0.577133,0.577133,244,22,7,0.17
74,0,0.577133,0.553192,0.577133,0.577133,0.577133,0.577133,257,22,7,0.17
75,0,0.577133,0.555038,0.577133,0.577133,0.577133,0.577133,256,22,7,0.17
76,0,0.577133,0.555694,0.577133,0.577133,0.577133,0.577133,278,22,7,0.17
77,0,0.577133,0.554665,0.577133,0.577133,0.577133,0.577133,274,22,7,0.17
78,0,0.577133,0.554803,0.577133,0.577133,0.577133,0.577133,301,22,7,0.17
79,0,0.577133,0.556973,0.577133,0.577133,0.577133,0.577133,290,22,7,0.17
80,0,0.577133,0.558404,0.577133,0.577133,0.577133,0.577133,296,22,7,0.17
81,0,0.577133,0.558893,0.577133,0.577133,0.577133,0.577133,305,22,7,0.17
82,0,0.577133,0.559505,0.577133,0.577133,0.577133,0.577133,306,22,7,0.17
83,0,0.577133,0.561768,0.577133,0.577133,0.577133,0.577133,306,22,7,0.18
84,0,0.577133,0.561064,0.577133,0.577133,0.577133,0.577133,307,22,7,0.17
85,0,0.577133,0.561659,0.577133,0.577133,0.577133,0.577133,310,22,7,0.17
86,0,0.577133,0.562310,0.577133,0.577133,0.577133,0.577133,311,22,7,0.17
87,0,0.577133,0.562515,0.577133,0.577133,0.577133,0.577133,309,22,7,0.17
88,0,0.577133,0.562652,0.577133,0.577133,0.577133,0.577133,310,22,7,0.19
89,0,0.577133,0.563888,0.577133,0.577133,0.577133,0.577133,317,22,7,0.17
90,0,0.577133,0.563289,0.577133,0.577133,0.577133,0.577133,319,22,7,0.17
91,0,0.577133,0.563729,0.577133,0.577133,0.577133,0.577133,315,22,7,0.19
92,0,0.577167,0.564094,0.577133,0.577167,0.577133,0.577167,320,23,10,0.18
93,0,0.577167,0.565036,0.577133,0.577167,0.577133,0.577167,318,23,10,0.17
94,0,0.577167,0.563790,0.577133,0.577167,0.577133,0.577167,320,23,10,0.17
95,0,0.577167,0.560844,0.577133,0.577167,0.577133,0.577167,321,23,10,0.18
96,0,0.577167,0.565630,0.577133,0.577167,0.577133,0.577167,322,23,10,0.17
97,0,0.577167,0.565393,0.577133,0.577167,0.577133,0.577167,322,23,10,0.17
98,0,0.577167,0.563938,0.577133,0.577167,0.577133,0.577167,320,23,10,0.17
99,0,0.577167,0.563868,0.577133,0.577167,0.577133,0.577167,313,23,10,0.17
100,0,0.577167,0.562619,0.577133,0.577167,0.577133,0.577167,300,23,10,0.17
101,0,0.577167,0.558891,0.577133,0.577167,0.577133,0.577167,286,23,10,0.17
102,0,0.577167,0.555554,0.577133,0.577167,0.577133,0.577167,258,23,10,0.18
103,0,0.577167,0.554106,0.577133,0.577167,0.577133,0.577167,234,23,10,0.18
104,0,0.577167,0.550612,0.577133,0.577167,0.577133,0.577167,212,23,10,0.19
105,0,0.577167,0.549672,0.577133,0.577167,0.577133,0.577167,198,23,10,0.18
106,0,0.577167,0.547769,0.577133,0.577167,0.577133,0.577167,174,23,10,0.18
107,0,0.577200,0.546184,0.577167,0.577200,0.577167,0.577200,168,29,13,0.18
108,0,0.577200,0.542280,0.577167,0.577200,0.577167,0.577200,180,29,13,0.19
109,0,0.577200,0.535672,0.577167,0.577200,0.577167,0.577200,168,29,13,0.19
110,0,0.577200,0.524118,0.577133,0.577200,0.577133,0.577200,186,29,13,0.19
111,0,0.577200,0.540540,0.577167,0.577200,0.577167,0.577200,184,29,13,0.19
112,0,0.577200,0.529333,0.577167,0.577200,0.577167,0.577200,212,28,13,0.19
113,0,0.577200,0.524298,0.577167,0.577200,0.577167,0.577200,216,28,13,0.19
114,0,0.577200,0.526005,0.577167,0.577200,0.577167,0.577200,211,28,13,0.19
115,0,0.577200,0.528555,0.577167,0.577200,0.577167,0.577200,231,28,13,0.19
116,0,0.577200,0.532683,0.577167,0.577200,0.577167,0.577200,221,28,13,0.20
117,0,0.577200,0.535080,0.577167,0.577200,0.577167,0.577200,213,28,13,0.20
118,0,0.577233,0.535686,0.577167,0.577233,0.577167,0.577233,228,32,13,0.19
119,0,0.577233,0.540943,0.577167,0.577233,0.577167,0.577233,227,32,13,0.19
120,0,0.577233,0.541581,0.577167,0.577233,0.577167,0.577233,221,31,13,0.19
121,0,0.577233,0.549563,0.577167,0.577233,0.577167,0.577233,221,31,13,0.20
122,0,0.577233,0.544148,0.577167,0.577233,0.577167,0.577233,232,30,13,0.19
123,0,0.577233,0.544472,0.577167,0.577233,0.577167,0.577233,234,30,13,0.20
124,0,0.577233,0.543736,0.577167,0.577233,0.577167,0.577233,240,30,13,0.20
125,0,0.577233,0.543624,0.577167,0.577233,0.577167,0.577233,234,30,13,0.20
126,0,0.577233,0.541101,0.577167,0.577233,0.577167,0.577233,244,30,13,0.21
127,0,0.577233,0.546667,0.577167,0.577233,0.577167,0.577233,245,30,13,0.20
128,0,0.577233,0.548694,0.577167,0.577233,0.577167,0.577233,234,30,13,0.20
129,0,0.577233,0.547608,0.577167,0.577233,0.577167,0.577233,232,30,13,0.21
130,0,0.577233,0.550553,0.577167,0.577233,0.577167,0.577233,228,30,13,0.20
131,0,0.577233,0.549468,0.577167,0.577233,0.577167,0.577233,223,30,13,0.20
132,0,0.577467,0.549278,0.577167,0.577467,0.577167,0.577467,209,34,13,0.22
133,0,0.577467,0.548146,0.577200,0.577467,0.577200,0.577467,210,34,13,0.21
134,0,0.577467,0.550031,0.577200,0.577467,0.577200,0.577467,210,34,13,0.21
135,0,0.577467,0.547564,0.577200,0.577467,0.577200,0.577467,207,34,13,0.22
136,0,0.577467,0.551772,0.577200,0.577467,0.577200,0.577467,209,34,13,0.21
137,0,0.577467,0.553972,0.577200,0.577467,0.577200,0.577467,209,34,13,0.21
138,0,0.577467,0.550859,0.577200,0.577467,0.577200,0.577467,217,34,13,0.21
139,0,0.577467,0.550960,0.577233,0.577467,0.577233,0.577467,215,34,13,0.21
140,0,0.577467,0.551531,0.577233,0.577467,0.577233,0.577467,218,34,13,0.22
141,0,0.577467,0.548159,0.577233,0.577467,0.577233,0.577467,222,34,13,0.21
142,0,0.577467,0.548634,0.577233,0.577467,0.577233,0.577467,220,34,13,0.21
143,0,0.577467,0.546540,0.577233,0.577467,0.577233,0.577467,227,34,13,0.21
144,0,0.577467,0.549590,0.577233,0.577467,0.577233,0.577467,206,34,13,0.21
145,0,0.577467,0.547559,0.577233,0.577467,0.577233,0.577467,205,34,13,0.21
146,0,0.577467,0.552755,0.577233,0.577467,0.577233,0.577467,194,34,13,0.21
147,0,0.577467,0.555633,0.577233,0.577467,0.577233,0.577467,211,34,13,0.21
148,0,0.577467,0.549208,0.577233,0.577467,0.577233,0.577467,210,34,13,0.21
149,0,0.577467,0.550281,0.577233,0.577467,0.577233,0.577467,203,34,13,0.22
150,0,0.581600,0.551010,0.577233,0.581600,0.577233,0.581600,204,39,16,0.21
151,0,0.581600,0.547315,0.577233,0.581600,0.577233,0.581600,184,39,16,0.22
152,0,0.582233,0.545283,0.577233,0.582233,0.577233,0.582233,182,37,15,0.22
153,0,0.582233,0.548618,0.577433,0.582233,0.577433,0.582233,159,37,15,0.22
154,0,0.582233,0.545464,0.577467,0.582233,0.577467,0.582233,145,37,15,0.22
155,0,0.582233,0.545036,0.577467,0.582233,0.577467,0.582233,147,37,15,0.22
156,0,0.582233,0.548176,0.577467,0.582233,0.577467,0.582233,125,37,15,0.22
157,0,0.582233,0.542323,0.577467,0.582233,0.577467,0.582233,132,37,15,0.22
158,0,0.582233,0.544953,0.577467,0.582233,0.577467,0.582233,136,37,15,0.22
159,0,0.582233,0.549130,0.577467,0.582233,0.577467,0.582233,151,37,15,0.22
160,0,0.582233,0.545263,0.577467,0.582233,0.577467,0.582233,147,37,15,0.22
161,0,0.582233,0.551092,0.577467,0.582233,0.577467,0.582233,148,37,15,0.22
162,0,0.582233,0.550846,0.577500,0.582233,0.577500,0.582233,165,37,15,0.22
163,0,0.582233,0.546962,0.577567,0.582233,0.577567,0.582233,188,37,15,0.23
164,0,0.582233,0.550173,0.577567,0.582233,0.577567,0.582233,202,37,15,0.23
165,0,0.582233,0.551859,0.577633,0.582233,0.577633,0.582233,196,37,15,0.23
166,0,0.582233,0.549584,0.577633,0.582233,0.577633,0.582233,205,37,15,0.25
167,0,0.582233,0.550243,0.577633,0.582233,0.577633,0.582233,202,37,15,0.23
168,0,0.582233,0.551148,0.577633,0.582233,0.577633,0.582233,202,37,15,0.25
169,0,0.582233,0.549868,0.577633,0.582233,0.577633,0.582233,211,38,14,0.23
170,0,0.582233,0.554158,0.577633,0.582233,0.577633,0.582233,200,38,14,0.23
171,0,0.582233,0.556433,0.577633,0.582233,0.577633,0.582233,217,36,14,0.23
172,0,0.582233,0.556757,0.577633,0.582233,0.577633,0.582233,217,36,14,0.23
173,0,0.582400,0.556488,0.577633,0.582400,0.577633,0.582400,211,42,16,0.23
174,0,0.582400,0.558504,0.581600,0.582400,0.581600,0.582400,223,42,16,0.23
175,0,0.582400,0.558493,0.581600,0.582400,0.581600,0.582400,233,42,16,0.24
176,0,0.582400,0.552870,0.581600,0.582400,0.581600,0.582400,230,42,16,0.23
177,0,0.582400,0.553285,0.581800,0.582400,0.581800,0.582400,232,42,16,0.23
178,0,0.582433,0.553480,0.582200,0.582433,0.582200,0.582433,223,43,16,0.23
179,0,0.582433,0.555023,0.582233,0.582433,0.582233,0.582433,216,43,16,0.23
180,0,0.582433,0.557145,0.582233,0.582433,0.582233,0.582433,215,43,16,0.23
181,0,0.582433,0.552374,0.582233,0.582433,0.582233,0.582433,213,43,16,0.23
182,0,0.582433,0.552744,0.582233,0.582433,0.582233,0.582433,218,43,16,0.23
183,0,0.582433,0.550719,0.582233,0.582433,0.582233,0.582433,237,43,16,0.23
184,0,0.582433,0.561727,0.582233,0.582433,0.582233,0.582433,225,43,16,0.23
185,0,0.582433,0.557894,0.582233,0.582433,0.582233,0.582433,231,43,16,0.23
186,0,0.582467,0.559580,0.582233,0.582467,0.582233,0.582467,233,46,17,0.23
187,0,0.582467,0.558113,0.582233,0.582467,0.582233,0.582467,234,46,17,0.23
188,0,0.582467,0.558966,0.582233,0.582467,0.582233,0.582467,237,46,17,0.23
189,0,0.582467,0.563595,0.582233,0.582467,0.582233,0.582467,243,46,17,0.23
190,0,0.582533,0.560311,0.582267,0.582533,0.582267,0.582533,230,40,16,0.23
191,0,0.582533,0.557998,0.582300,0.582533,0.582300,0.582533,225,40,16,0.23
192,0,0.582567,0.557989,0.582333,0.582567,0.582333,0.582567,226,41,16,0.24
193,0,0.582567,0.555387,0.582333,0.582567,0.582333,0.582567,211,41,16,0.24
194,0,0.582567,0.561132,0.582367,0.582567,0.582367,0.582567,216,41,16,0.24
195,0,0.582567,0.558333,0.582367,0.582567,0.582367,0.582567,197,41,16,0.24
196,0,0.582567,0.557675,0.582367,0.582567,0.582367,0.582567,205,41,16,0.24
197,0,0.582567,0.558694,0.582400,0.582567,0.582400,0.582567,197,41,16,0.24
198,0,0.582567,0.558780,0.582433,0.582567,0.582433,0.582567,204,41,16,0.24
199,0,0.582733,0.558435,0.582433,0.582733,0.582433,0.582733,194,42,17,0.24
200,1,-0.408203,-3.476332,-3.435547,-0.408203,-3.435547,-0.408203,196,43,18,0.24
201,1,-0.119141,-2.879109,-2.878906,-0.119141,-2.878906,-0.119141,196,40,16,0.11
202,1,-2.125000,-5.545084,-5.591797,-2.125000,-5.591797,-0.119141,217,42,17,0.50
203,1,-1.107422,-5.362838,-5.392578,-1.107422,-5.392578,-0.119141,240,39,17,0.50
204,1,-0.964844,-5.191590,-5.306641,-0.964844,-5.306641,-0.119141,239,38,15,0.26
205,1,0.171875,-2.661975,-2.636719,0.171875,-2.636719,0.171875,244,42,16,0.13
206,1,0.177734,-3.349238,-3.373047,0.177734,-3.373047,0.177734,250,39,17,0.40
207,1,-1.789062,-5.168934,-4.949219,-1.789062,-4.949219,0.177734,253,42,16,0.23
208,1,-0.437500,-2.986379,-2.921875,-0.437500,-2.921875,0.177734,251,41,16,0.37
209,1,-0.478516,-4.253158,-4.148438,-0.478516,-4.148438,0.177734,245,42,16,0.37
210,1,1.597656,-1.897330,-1.882812,1.597656,-1.882812,1.597656,239,44,17,0.48
211,1,-0.062500,-3.486098,-3.222656,-0.062500,-3.222656,1.597656,235,46,17,0.50
212,1,0.937500,-1.331387,-1.222656,0.937500,-1.222656,1.597656,231,43,18,0.25
213,1,-2.464844,-5.843738,-5.677734,-2.464844,-5.677734,1.597656,229,43,17,0.48
214,1,2.021484,0.293654,0.318359,2.021484,0.318359,2.021484,228,42,18,0.36
215,1,-1.734375,-3.802416,-3.738281,-1.734375,-3.738281,2.021484,221,47,18,0.26
216,1,-0.189453,-2.121211,-2.015625,-0.189453,-2.015625,2.021484,237,44,18,0.36
217,1,1.269531,-0.496244,-0.421875,1.269531,-0.421875,2.021484,229,42,16,0.24
218,1,1.365234,-1.004531,-0.951172,1.365234,-0.951172,2.021484,232,45,18,0.38
219,1,0.410156,-1.879594,-1.744141,0.410156,-1.744141,2.021484,225,44,19,0.38
220,1,1.193359,-0.523154,-0.396484,1.193359,-0.396484,2.021484,222,44,18,0.12
221,1,-0.947266,-2.132990,-1.917969,-0.947266,-1.917969,2.021484,227,46,18,0.25
222,1,-0.619141,-2.654422,-2.552734,-0.619141,-2.552734,2.021484,223,47,19,0.24
223,1,-0.568359,-1.771146,-1.650391,-0.568359,-1.650391,2.021484,231,47,19,0.24
224,1,0.111328,-1.076449,-1.060547,0.111328,-1.060547,2.021484,241,44,18,0.37
225,1,0.123047,-1.593721,-1.490234,0.123047,-1.490234,2.021484,234,44,18,0.37
226,1,0.291016,-0.928543,-1.000000,0.291016,-1.000000,2.021484,253,45,17,0.37
227,1,2.417969,0.514752,0.460938,2.417969,0.460938,2.417969,258,46,19,0.26
228,1,0.490234,-1.225006,-1.132812,0.490234,-1.132812,2.417969,270,47,20,0.25
229,1,2.152344,0.983275,1.474609,2.152344,1.474609,2.417969,271,48,20,0.12
230,1,1.349609,0.386254,0.730469,1.349609,0.730469,2.417969,269,48,20,0.12
231,1,0.820312,-0.095707,0.273438,0.820312,0.273438,2.417969,257,48,20,0.12
232,1,-0.458984,-2.042957,-1.955078,-0.458984,-1.955078,2.417969,257,47,19,0.25
233,1,-0.935547,-1.965518,-1.894531,-0.935547,-1.894531,2.417969,256,50,21,0.37
234,1,1.380859,0.485926,0.656250,1.380859,0.656250,2.417969,249,48,20,0.37
235,1,2.392578,0.177980,0.214844,2.392578,0.214844,2.417969,261,43,18,0.25
236,1,-0.468750,-2.323639,-2.199219,-0.468750,-2.199219,2.417969,258,40,16,0.37
237,1,2.357422,1.675699,1.968750,2.357422,1.968750,2.417969,264,48,20,0.13
238,1,-1.693359,-3.267121,-3.166016,-1.693359,-3.166016,2.417969,264,41,17,0.49
239,1,-1.242188,-2.862033,-2.767578,-1.242188,-2.767578,2.417969,268,41,18,0.50
240,1,1.298828,0.129346,0.617188,1.298828,0.617188,2.417969,268,41,18,0.13
241,1,2.089844,0.363779,0.425781,2.089844,0.425781,2.417969,271,54,21,0.36
242,1,1.615234,-0.053639,0.027344,1.615234,0.027344,2.417969,284,43,18,0.25
243,1,0.453125,-1.514469,-1.457031,0.453125,-1.457031,2.417969,285,46,20,0.41
244,1,1.652344,0.041240,0.115234,1.652344,0.115234,2.417969,282,46,20,0.38
245,1,1.166016,0.209730,0.222656,1.166016,0.222656,2.417969,286,48,20,0.25
246,1,-0.808594,-2.390678,-2.361328,-0.808594,-2.361328,2.417969,282,45,17,0.37
247,1,2.011719,1.010420,1.201172,2.011719,1.201172,2.417969,289,50,20,0.25
248,1,-0.630859,-1.791691,-1.990234,-0.630859,-1.990234,2.417969,296,44,18,0.37
249,1,1.433594,0.515574,0.593750,1.433594,0.593750,2.417969,293,47,18,0.26
250,1,1.056641,0.157305,0.351562,1.056641,0.351562,2.417969,298,50,21,0.13
251,1,0.875000,-0.081043,0.025391,0.875000,0.025391,2.417969,302,50,19,0.26
252,1,0.687500,-0.015525,-0.007812,0.687500,-0.007812,2.417969,298,50,21,0.38
253,1,0.386719,-0.371451,-0.371094,0.386719,-0.371094,2.417969,300,50,20,0.40
254,1,0.412109,-0.796914,-0.718750,0.412109,-0.718750,2.417969,295,47,19,0.28
255,1,1.548828,1.029711,1.203125,1.548828,1.203125,2.417969,300,50,21,0.13
256,1,-2.449219,-3.370666,-3.287109,-2.449219,-3.287109,2.417969,297,51,22,0.27
257,1,2.519531,1.827225,1.982422,2.519531,1.982422,2.519531,289,51,22,0.26
258,1,1.914062,1.016361,1.095703,1.914062,1.095703,2.519531,291,51,22,0.25
259,1,-2.564453,-3.452018,-3.562500,-2.564453,-3.562500,2.519531,295,51,22,0.38
260,1,1.039062,0.499920,0.646484,1.039062,0.646484,2.519531,291,51,20,0.12
261,1,-0.546875,-1.207350,-1.099609,-0.546875,-1.099609,2.519531,288,45,20,0.25
262,1,0.208984,-0.921969,-0.869141,0.208984,-0.869141,2.519531,283,51,22,0.42
263,1,1.740234,1.152926,1.308594,1.740234,1.308594,2.519531,274,51,22,0.13
264,1,-2.964844,-3.870455,-3.857422,-2.964844,-3.857422,2.519531,284,55,25,0.29
265,1,1.554688,0.857260,0.976562,1.554688,0.976562,2.519531,294,50,20,0.27
266,1,-1.816406,-3.203496,-3.099609,-1.816406,-3.099609,2.519531,296,53,22,0.27
267,1,2.339844,1.638250,1.740234,2.339844,1.740234,2.519531,286,55,23,0.13
268,1,-1.226562,-2.302094,-2.201172,-1.226562,-2.201172,2.519531,274,55,25,0.27
269,1,1.414062,0.829307,1.021484,1.414062,1.021484,2.519531,278,52,23,0.14
270,1,1.355469,0.826391,0.988281,1.355469,0.988281,2.519531,268,51,22,0.12
271,1,-0.343750,-1.516572,-1.408203,-0.343750,-1.408203,2.519531,276,51,22,0.55
272,1,0.341797,-0.444986,-0.371094,0.341797,-0.371094,2.519531,266,55,24,0.26
273,1,0.640625,0.094213,0.160156,0.640625,0.160156,2.519531,265,53,24,0.13
274,1,1.570312,0.800242,0.927734,1.570312,0.927734,2.519531,269,57,26,0.29
275,1,-0.099609,-1.338092,-1.294922,-0.099609,-1.294922,2.519531,259,55,24,0.42
276,1,1.154297,0.460799,0.607422,1.154297,0.607422,2.519531,257,54,24,0.14
277,1,-0.675781,-1.763246,-1.583984,-0.675781,-1.583984,2.519531,252,54,25,0.52
278,1,1.689453,-0.365922,-0.375000,1.689453,-0.375000,2.519531,243,53,22,0.38
279,1,1.207031,0.627957,0.720703,1.207031,0.720703,2.519531,253,60,26,0.29
280,1,0.423828,-0.559176,-0.371094,0.423828,-0.371094,2.519531,250,59,28,0.27
281,1,-0.013672,-1.640855,-1.570312,-0.013672,-1.570312,2.519531,261,53,23,0.42
282,1,1.359375,0.624834,0.791016,1.359375,0.791016,2.519531,259,56,25,0.13
283,1,1.554688,0.371611,0.351562,1.554688,0.351562,2.519531,269,53,23,0.26
284,1,2.294922,0.621381,0.724609,2.294922,0.724609,2.519531,250,59,28,0.26
285,1,-1.289062,-2.212631,-2.160156,-1.289062,-2.160156,2.519531,263,55,25,0.27
286,1,-1.773438,-2.684855,-2.476562,-1.773438,-2.476562,2.519531,272,51,23,0.50
287,1,-0.794922,-1.590266,-1.376953,-0.794922,-1.376953,2.519531,245,56,25,0.26
288,1,1.107422,0.409861,0.611328,1.107422,0.611328,2.519531,252,56,24,0.25
289,1,-0.708984,-1.620900,-1.632812,-0.708984,-1.632812,2.519531,244,50,24,0.27
290,1,2.035156,1.077344,1.117188,2.035156,1.117188,2.519531,252,59,26,0.26
291,1,0.271484,-0.523576,-0.550781,0.271484,-0.550781,2.519531,253,57,24,0.31
292,1,-0.566406,-1.437709,-1.349609,-0.566406,-1.349609,2.519531,253,52,22,0.29
293,1,1.246094,0.550031,0.482422,1.246094,0.482422,2.519531,262,58,27,0.14
294,1,-1.265625,-2.056998,-2.009766,-1.265625,-2.009766,2.519531,258,57,25,0.28
295,1,1.199219,0.107734,0.189453,1.199219,0.189453,2.519531,260,57,25,0.54
296,1,1.095703,0.478301,0.539062,1.095703,0.539062,2.519531,268,58,25,0.15
297,1,1.283203,0.342229,0.296875,1.283203,0.296875,2.519531,263,55,24,0.28
298,1,0.333984,-1.367557,-1.394531,0.333984,-1.394531,2.519531,259,54,22,0.54
299,1,0.728516,0.133516,0.339844,0.728516,0.339844,2.519531,265,56,25,0.15
300,1,2.140625,0.387289,0.460938,2.140625,0.460938,2.519531,271,53,25,0.41
301,1,2.035156,0.565576,0.693359,2.035156,0.693359,2.519531,272,58,25,0.55
302,1,-1.126953,-1.887518,-1.894531,-1.126953,-1.894531,2.519531,278,54,22,0.41
303,1,0.443359,-0.841969,-1.070312,0.443359,-1.070312,2.519531,278,57,24,0.53
304,1,1.859375,1.229285,1.367188,1.859375,1.367188,2.519531,279,55,25,0.27
305,1,0.796875,-0.001248,0.177734,0.796875,0.177734,2.519531,276,54,25,0.39
306,1,1.369141,0.158912,0.242188,1.369141,0.242188,2.519531,277,54,22,0.26
307,1,2.173828,1.637881,1.791016,2.173828,1.791016,2.519531,276,57,24,0.13
