generation,phase,best_fitness,avg_fitness,median_fitness,best_delta,median_delta,global_best_fitness,n_species,n_connections_best,n_hidden_best,elapsed_sec
0,0,0.481667,0.287745,0.324767,0.481667,0.324767,0.481667,0,5,1,0.09
1,0,0.488067,0.355802,0.373067,0.488067,0.373067,0.488067,187,3,0,0.09
2,0,0.488067,0.382843,0.374733,0.488067,0.374733,0.488067,196,3,0,0.09
3,0,0.490500,0.398228,0.378767,0.490500,0.378767,0.490500,197,2,0,0.09
4,0,0.514267,0.411818,0.420400,0.514267,0.420400,0.514267,193,5,1,0.09
5,0,0.514267,0.429971,0.454600,0.514267,0.454600,0.514267,199,5,1,0.10
6,0,0.514267,0.450332,0.475167,0.514267,0.475167,0.514267,202,5,1,0.09
7,0,0.514267,0.458453,0.479433,0.514267,0.479433,0.514267,184,5,1,0.10
8,0,0.514267,0.466595,0.480333,0.514267,0.480333,0.514267,167,5,1,0.10
9,0,0.514267,0.468378,0.483967,0.514267,0.483967,0.514267,163,5,1,0.10
10,0,0.514267,0.469567,0.484733,0.514267,0.484733,0.514267,151,5,1,0.10
11,0,0.524200,0.476615,0.497500,0.524200,0.497500,0.524200,141,6,1,0.10
12,0,0.524200,0.478461,0.498800,0.524200,0.498800,0.524200,131,6,1,0.10
13,0,0.524200,0.480857,0.498867,0.524200,0.498867,0.524200,117,6,1,0.10
14,0,0.524200,0.478242,0.498900,0.524200,0.498900,0.524200,134,6,1,0.11
15,0,0.524200,0.480671,0.509067,0.524200,0.509067,0.524200,136,6,1,0.11
16,0,0.524500,0.479490,0.514267,0.524500,0.514267,0.524500,143,9,2,0.11
17,0,0.526400,0.484113,0.514267,0.526400,0.514267,0.526400,137,8,2,0.11
18,0,0.526400,0.488041,0.514500,0.526400,0.514500,0.526400,127,8,2,0.11
19,0,0.526400,0.487170,0.520700,0.526400,0.520700,0.526400,122,8,2,0.11
20,0,0.527467,0.488246,0.524200,0.527467,0.524200,0.527467,119,10,2,0.11
21,0,0.527467,0.491953,0.524200,0.527467,0.524200,0.527467,118,10,2,0.11
22,0,0.527467,0.493980,0.524200,0.527467,0.524200,0.527467,144,10,2,0.13
23,0,0.527467,0.495803,0.524233,0.527467,0.524233,0.527467,142,10,2,0.11
24,0,0.527467,0.496903,0.524500,0.527467,0.524500,0.527467,148,10,2,0.11
25,0,0.527467,0.502253,0.526400,0.527467,0.526400,0.527467,149,10,2,0.11
26,0,0.527467,0.499959,0.526400,0.527467,0.526400,0.527467,164,10,2,0.11
27,0,0.527500,0.500923,0.526400,0.527500,0.526400,0.527500,162,13,4,0.12
28,0,0.527500,0.500544,0.526400,0.527500,0.526400,0.527500,172,13,4,0.12
29,0,0.527500,0.501609,0.526400,0.527500,0.526400,0.527500,174,13,3,0.12
30,0,0.529233,0.500399,0.526400,0.529233,0.526400,0.529233,177,14,5,0.12
31,0,0.554267,0.500761,0.526467,0.554267,0.526467,0.554267,174,13,3,0.12
32,0,0.554267,0.499937,0.527133,0.554267,0.527133,0.554267,181,13,3,0.12
