generation,phase,lead_best,lead_avg,follow_best,follow_avg,best_delta_lead,best_delta_follow,n_species_lead,n_species_follow,n_conns_lead,n_conns_follow,elapsed_sec
831,1,0.962891,-0.279559,-2.300781,-2.739332,0.962891,-2.300781,299,260,52,47,5.36
832,1,0.242188,-0.735457,-1.031250,-1.791578,0.242188,-1.031250,299,266,52,45,4.00
833,1,1.423828,0.808949,-3.970703,-4.634232,1.423828,-3.970703,290,272,56,51,4.53
834,1,3.099609,1.770516,0.908203,0.235885,3.099609,0.908203,294,279,50,86,2.93
835,1,2.082031,1.541568,0.386719,-1.276148,2.082031,0.386719,299,281,51,48,4.06
836,1,2.064453,1.460166,-2.148438,-2.862750,2.064453,-2.148438,305,278,47,51,4.66
837,1,-0.164062,-1.196289,-0.566406,-1.353520,-0.164062,-0.566406,308,285,47,85,3.07
838,1,2.550781,1.735064,-2.023438,-2.810873,2.550781,-2.023438,308,278,51,49,6.61
839,1,2.478516,1.850701,-0.089844,-1.077633,2.478516,-0.089844,307,270,53,53,3.11
840,1,1.779297,0.816637,-0.273438,-0.784051,1.779297,-0.273438,198,282,54,48,3.76
841,1,1.148438,0.515348,-0.296875,-1.014947,1.148438,-0.296875,244,293,48,84,3.14
842,1,-0.804688,-1.514969,0.656250,0.076813,-0.804688,0.656250,260,297,53,87,3.03
843,1,2.261719,1.324381,-0.306641,-0.755406,2.261719,-0.306641,258,295,50,86,3.11
844,1,0.150391,-0.562727,0.681641,-1.012471,0.150391,0.681641,271,296,50,88,5.43
845,1,0.548828,0.018104,0.007812,-0.528687,0.548828,0.007812,271,293,51,51,4.49
846,1,1.027344,0.254777,-0.449219,-1.265059,1.027344,-0.449219,265,299,48,46,4.14
847,1,1.623047,0.735873,0.947266,-0.271744,1.623047,0.947266,265,290,52,49,4.17
848,1,2.197266,1.759291,-0.714844,-1.150691,2.197266,-0.714844,272,294,53,84,2.08
849,1,-0.179688,-1.390385,-2.501953,-3.274955,-0.179688,-2.501953,272,298,48,87,5.63
850,1,2.392578,1.918484,-1.714844,-2.696730,2.392578,-1.714844,273,296,52,48,4.97
851,1,1.501953,0.921322,-0.076172,-0.671324,1.501953,-0.076172,285,289,56,55,4.05
852,1,1.681641,1.223156,-0.953125,-1.423295,1.681641,-0.953125,289,296,54,87,3.08
853,1,0.984375,-0.052250,1.007812,0.123762,0.984375,1.007812,292,291,58,86,5.31
854,1,2.208984,1.732613,-3.507812,-4.820240,2.208984,-3.507812,293,211,48,52,6.50
855,1,0.148438,-0.507725,-1.673828,-2.136842,0.148438,-1.673828,297,245,49,50,5.35
856,1,-0.486328,-1.748408,0.140625,-0.257678,-0.486328,0.140625,295,244,49,54,4.26
857,1,1.693359,-0.068951,0.664062,0.074875,1.693359,0.664062,295,249,47,47,3.80
858,1,2.052734,1.403984,0.539062,-0.293797,2.052734,0.539062,299,254,46,86,4.12
859,1,0.279297,-0.505490,-0.810547,-1.328643,0.279297,-0.810547,304,259,48,86,4.10
860,1,0.197266,-1.118607,-0.738281,-2.104770,0.197266,-0.738281,306,254,55,53,4.32
861,1,0.970703,0.307850,0.535156,-0.236451,0.970703,0.535156,302,258,47,47,4.60
862,1,-0.597656,-1.770811,0.972656,0.526627,-0.597656,0.972656,301,261,53,87,3.22
