1130,1,-0.984375,-1.201613,-0.984375,-1.201613,252,252,184,88,0.84
1131,1,0.160156,-0.193941,0.160156,-0.193941,258,258,185,92,0.94
1132,1,0.421875,-0.005670,0.421875,-0.005670,261,261,179,89,0.89
1133,1,0.855469,0.222371,0.855469,0.222371,258,258,176,82,0.58
1134,1,0.636719,0.316738,0.636719,0.316738,252,252,182,92,0.66
1135,1,-0.078125,-0.616012,-0.078125,-0.616012,248,248,177,83,0.70
1136,1,-0.296875,-0.753107,-0.296875,-0.753107,248,248,180,84,1.17
1137,1,-0.121094,-0.592455,-0.121094,-0.592455,243,243,180,88,0.56
1138,1,0.513672,-0.084549,0.513672,-0.084549,272,272,182,82,0.89
1139,1,-1.445312,-1.893838,-1.445312,-1.893838,281,281,180,80,1.12
1140,1,0.152344,-0.109209,0.152344,-0.109209,270,270,182,93,0.81
1141,1,-0.230469,-0.620387,-0.230469,-0.620387,276,276,185,80,1.20
1142,1,-1.468750,-1.764840,-1.468750,-1.764840,257,257,179,89,0.88
1143,1,-0.796875,-1.109023,-0.796875,-1.109023,239,239,180,83,0.80
74469,0.716797,0.174469,267,267,155,71,1.51
935,1,1.671875,1.171580,1.671875,1.171580,261,261,163,79,1.69
936,1,-0.228516,-0.735826,-0.228516,-0.735826,275,275,161,74,2.19
937,1,-0.503906,-0.910420,-0.503906,-0.910420,273,273,163,69,0.97
938,1,0.291016,-0.315820,0.291016,-0.315820,273,273,165,74,1.64
939,1,-0.414062,-0.943340,-0.414062,-0.943340,274,274,168,79,1.68
940,1,-0.384766,-0.882180,-0.384766,-0.882180,285,285,166,82,2.12
941,1,0.427734,-0.047613,0.427734,-0.047613,290,290,165,74,1.63
942,1,0.707031,0.231887,0.707031,0.231887,287,287,164,76,1.56
943,1,0.517578,0.042869,0.517578,0.042869,284,284,165,75,1.57
944,1,-0.359375,-0.738775,-0.359375,-0.738775,278,278,160,73,1.80
945,1,0.164062,-0.267168,0.164062,-0.267168,270,270,164,75,0.96
946,1,-0.236328,-1.259975,-0.236328,-1.259975,254,254,160,70,1.69
947,1,-0.242188,-0.810561,-0.242188,-0.810561,259,259,167,78,2.39
948,1,-0.513672,-0.907670,-0.513672,-0.907670,278,278,164,92,1.65
949,1,-0.412109,-1.012172,-0.412109,-1.012172,275,275,166,76,1.67
950,1,0.939453,0.154141,0.939453,0.154141,261,261,165,82,1.88
951,1,-0.195312,-0.495510,-0.195312,-0.495510,273,273,159,70,2.28
952,1,0.519531,-0.092125,0.519531,-0.092125,280,280,164,77,0.97
953,1,0.873047,0.052621,0.873047,0.052621,270,270,163,91,1.71
954,1,1.183594,0.686934,1.183594,0.686934,265,265,156,77,0.98
955,1,0.542969,-0.477547,0.542969,-0.477547,279,279,166,79,1.03
956,1,-0.064453,-0.602959,-0.064453,-0.602959,278,278,165,92,1.77
957,1,0.013672,-0.935004,0.013672,-0.935004,276,276,164,79,1.66
958,1,-0.546875,-1.170283,-0.546875,-1.170283,271,271,168,80,1.66
959,1,0.128906,-0.880898,0.128906,-0.880898,261,261,164,79,1.84
960,1,-0.193359,-0.965795,-0.193359,-0.965795,260,260,165,80,1.03
