generation,phase,lead_best_fitness,lead_avg_fitness,follow_best_fitness,follow_avg_fitness,lead_n_species,follow_n_species,lead_n_connections_best,follow_n_connections_best,lead_val_acc,follow_val_acc,fixed_probe_delta,elapsed_sec
262,1,0.638672,0.435299,0.638672,0.435299,20,20,71,92,0.000000,0.000000,0.000000,3.18
263,1,0.509766,0.208771,0.509766,0.208771,20,20,78,103,0.000000,0.000000,0.000000,3.12
264,1,0.351562,0.057807,0.351562,0.057807,20,20,36,45,0.000000,0.000000,0.000000,4.47
265,1,0.464844,-0.282660,0.464844,-0.282660,20,20,86,104,0.000000,0.000000,0.000000,4.80
266,1,0.939453,0.535246,0.939453,0.535246,20,20,75,107,0.000000,0.000000,0.000000,4.79
267,1,0.470703,-0.131283,0.470703,-0.131283,20,20,84,104,0.000000,0.000000,0.000000,4.55
268,1,0.552734,0.243635,0.552734,0.243635,20,20,86,109,0.000000,0.000000,0.000000,6.33
269,1,0.585938,0.130098,0.585938,0.130098,20,20,82,108,0.000000,0.000000,0.000000,4.86
270,1,0.541016,-0.553506,0.541016,-0.553506,20,20,89,114,0.000000,0.000000,0.000000,4.82
271,1,0.667969,0.174836,0.667969,0.174836,20,20,87,109,0.000000,0.000000,0.000000,5.23
272,1,0.277344,-0.024643,0.277344,-0.024643,20,20,84,111,0.000000,0.000000,0.000000,6.46
273,1,0.794922,0.478824,0.794922,0.478824,20,20,84,111,0.000000,0.000000,0.000000,3.71
274,1,0.617188,0.261758,0.617188,0.261758,20,20,89,113,0.000000,0.000000,0.000000,4.63
275,1,0.869141,0.374615,0.869141,0.374615,20,20,80,105,0.000000,0.000000,1.652344,4.83
276,1,0.375000,0.034732,0.375000,0.034732,20,20,94,117,0.000000,0.000000,0.000000,5.88
277,1,1.267578,0.922068,1.267578,0.922068,20,20,83,103,0.000000,0.000000,0.000000,4.51
278,1,0.628906,0.104055,0.628906,0.104055,20,20,99,104,0.000000,0.000000,0.000000,6.86
279,1,2.017578,1.384918,2.017578,1.384918,20,20,91,97,0.000000,0.000000,0.000000,5.72
280,1,1.007812,0.607229,1.007812,0.607229,20,20,90,114,0.000000,0.000000,0.000000,6.28
281,1,0.972656,0.679047,0.972656,0.679047,20,20,105,105,0.000000,0.000000,0.000000,5.05
282,1,0.343750,-0.277004,0.343750,-0.277004,20,20,73,105,0.000000,0.000000,0.000000,4.68
283,1,0.671875,0.363303,0.671875,0.363303,20,20,94,115,0.000000,0.000000,0.000000,3.64
284,1,1.429688,0.918619,1.429688,0.918619,20,20,93,115,0.000000,0.000000,0.000000,3.32
285,1,0.451172,0.162242,0.451172,0.162242,20,20,114,107,0.000000,0.000000,0.000000,3.41
286,1,0.533203,0.303816,0.533203,0.303816,20,20,96,120,0.000000,0.000000,0.000000,3.68
287,1,0.748047,0.364436,0.748047,0.364436,20,20,94,117,0.000000,0.000000,0.000000,8.30
288,1,0.740234,0.293547,0.740234,0.293547,20,20,87,120,0.000000,0.000000,0.000000,5.36
289,1,0.369141,-0.217584,0.369141,-0.217584,20,20,101,119,0.000000,0.000000,0.000000,5.59
290,1,0.746094,0.456010,0.746094,0.456010,20,20,93,120,0.000000,0.000000,0.000000,3.62
291,1,0.904297,0.449270,0.904297,0.449270,20,20,85,110,0.000000,0.000000,0.000000,5.31
292,1,1.423828,0.811965,1.423828,0.811965,20,20,95,119,0.000000,0.000000,0.000000,4.92
293,1,1.087891,0.681250,1.087891,0.681250,20,20,98,122,0.000000,0.000000,0.000000,5.02
294,1,0.564453,0.146471,0.564453,0.146471,20,20,93,117,0.000000,0.000000,0.000000,7.31
295,1,1.111328,0.739225,1.111328,0.739225,20,20,93,117,0.000000,0.000000,0.000000,4.14
296,1,0.818359,0.543271,0.818359,0.543271,20,20,92,129,0.000000,0.000000,0.000000,3.93
297,1,0.738281,0.427678,0.738281,0.427678,20,20,100,124,0.000000,0.000000,0.000000,4.10
298,1,0.578125,0.225117,0.578125,0.225117,20,20,99,121,0.000000,0.000000,0.000000,5.82
299,1,1.000000,0.569928,1.000000,0.569928,20,20,106,117,0.000000,0.000000,0.000000,5.50
300,1,1.056641,0.576807,1.056641,0.576807,20,20,101,129,0.000000,0.000000,1.414062,7.06
301,1,0.873047,0.566416,0.873047,0.566416,20,20,105,123,0.000000,0.000000,0.000000,4.46
302,1,0.542969,0.072801,0.542969,0.072801,20,20,108,129,0.000000,0.000000,0.000000,4.19
303,1,1.308594,0.838395,1.308594,0.838395,20,20,99,128,0.000000,0.000000,0.000000,5.50
304,1,0.273438,-0.238383,0.273438,-0.238383,20,20,101,130,0.000000,0.000000,0.000000,5.11
305,1,0.353516,-0.264723,0.353516,-0.264723,20,20,108,134,0.000000,0.000000,0.000000,5.44
306,1,0.980469,0.600016,0.980469,0.600016,20,20,110,128,0.000000,0.000000,0.000000,7.05
307,1,0.593750,0.036850,0.593750,0.036850,20,20,109,126,0.000000,0.000000,0.000000,6.00
308,1,0.654297,0.249633,0.654297,0.249633,20,20,93,136,0.000000,0.000000,0.000000,6.07
309,1,0.335938,-0.287922,0.335938,-0.287922,20,20,93,136,0.000000,0.000000,0.000000,5.33
310,1,0.345703,0.001342,0.345703,0.001342,20,20,97,138,0.000000,0.000000,0.000000,7.42
311,1,0.533203,0.176604,0.533203,0.176604,20,20,100,137,0.000000,0.000000,0.000000,8.23
312,1,0.505859,-0.220350,0.505859,-0.220350,20,20,109,133,0.000000,0.000000,0.000000,6.54
313,1,0.990234,0.504262,0.990234,0.504262,20,20,107,127,0.000000,0.000000,0.000000,7.66
314,1,1.236328,0.866572,1.236328,0.866572,20,20,103,139,0.000000,0.000000,0.000000,6.02
315,1,1.558594,1.183557,1.558594,1.183557,20,20,103,129,0.000000,0.000000,0.000000,5.84
316,1,0.414062,-0.044941,0.414062,-0.044941,20,20,114,133,0.000000,0.000000,0.000000,9.06
317,1,0.509766,0.136285,0.509766,0.136285,20,20,114,133,0.000000,0.000000,0.000000,8.35
318,1,0.648438,0.322738,0.648438,0.322738,20,20,104,139,0.000000,0.000000,0.000000,4.83
319,1,0.958984,0.101408,0.958984,0.101408,20,20,106,140,0.000000,0.000000,0.000000,4.99
320,1,1.115234,0.658396,1.115234,0.658396,20,20,90,132,0.000000,0.000000,0.000000,6.18
321,1,0.605469,-0.084939,0.605469,-0.084939,20,20,100,128,0.000000,0.000000,0.000000,8.25
322,1,0.818359,0.305086,0.818359,0.305086,20,20,111,142,0.000000,0.000000,0.000000,6.72
323,1,0.167969,-0.196270,0.167969,-0.196270,20,20,111,132,0.000000,0.000000,0.000000,6.82
324,1,0.986328,0.548656,0.986328,0.548656,20,20,106,135,0.000000,0.000000,0.000000,6.63
325,1,0.585938,0.102281,0.585938,0.102281,20,20,106,143,0.000000,0.000000,1.425781,8.00
326,1,0.421875,-0.023639,0.421875,-0.023639,20,20,100,145,0.000000,0.000000,0.000000,6.46
327,1,0.361328,-0.051879,0.361328,-0.051879,20,20,109,138,0.000000,0.000000,0.000000,9.45
328,1,0.923828,0.452168,0.923828,0.452168,20,20,113,135,0.000000,0.000000,0.000000,5.95
329,1,0.457031,0.011818,0.457031,0.011818,20,20,109,146,0.000000,0.000000,0.000000,6.79
330,1,0.736328,0.364443,0.736328,0.364443,20,20,101,141,0.000000,0.000000,0.000000,4.82
331,1,0.943359,0.298236,0.943359,0.298236,20,20,111,148,0.000000,0.000000,0.000000,4.78
332,1,0.960938,0.618807,0.960938,0.618807,20,20,108,153,0.000000,0.000000,0.000000,8.33
333,1,0.636719,0.399570,0.636719,0.399570,20,20,116,143,0.000000,0.000000,0.000000,8.93
334,1,0.382812,-0.173723,0.382812,-0.173723,20,20,104,145,0.000000,0.000000,0.000000,7.96
335,1,0.574219,0.108527,0.574219,0.108527,20,20,109,141,0.000000,0.000000,0.000000,8.28
336,1,1.367188,0.982924,1.367188,0.982924,20,20,104,127,0.000000,0.000000,0.000000,5.33
337,1,0.417969,-0.415035,0.417969,-0.415035,20,20,114,149,0.000000,0.000000,0.000000,7.42
338,1,0.195312,-0.171016,0.195312,-0.171016,20,20,119,152,0.000000,0.000000,0.000000,7.17
339,1,0.369141,-0.286705,0.369141,-0.286705,20,20,114,153,0.000000,0.000000,0.000000,7.81
340,1,0.556641,0.101904,0.556641,0.101904,20,20,108,141,0.000000,0.000000,0.000000,7.22
341,1,0.525391,0.059150,0.525391,0.059150,20,20,124,159,0.000000,0.000000,0.000000,7.16
342,1,1.105469,0.470338,1.105469,0.470338,20,20,117,143,0.000000,0.000000,0.000000,7.64
343,1,0.673828,0.317451,0.673828,0.317451,20,20,124,145,0.000000,0.000000,0.000000,5.50
344,1,1.093750,0.626934,1.093750,0.626934,20,20,107,150,0.000000,0.000000,0.000000,6.89
345,1,0.449219,0.114340,0.449219,0.114340,20,20,110,145,0.000000,0.000000,0.000000,6.71
346,1,0.679688,0.443752,0.679688,0.443752,20,20,117,163,0.000000,0.000000,0.000000,6.72
347,1,0.449219,-0.020936,0.449219,-0.020936,20,20,115,148,0.000000,0.000000,0.000000,7.02
348,1,1.109375,0.746623,1.109375,0.746623,20,20,123,154,0.000000,0.000000,0.000000,7.44
349,1,1.062500,0.459592,1.062500,0.459592,20,20,124,159,0.000000,0.000000,0.000000,5.39
