generation,phase,best_fitness,avg_fitness,median_fitness,best_delta,median_delta,global_best_fitness,n_species,n_connections_best,n_hidden_best,oracle_tax,elapsed_sec
0,0,0.339980,0.247653,0.250000,0.339980,0.250000,0.339980,0,3,0,-0.25,12.10
1,0,0.339980,0.261089,0.257680,0.339980,0.257680,0.339980,147,3,0,-0.25,11.71
2,0,0.342580,0.273326,0.270750,0.342580,0.270750,0.342580,148,4,0,-0.25,11.63
3,0,0.372010,0.286982,0.285520,0.372010,0.285520,0.372010,163,6,0,-0.25,10.80
4,0,0.383490,0.300375,0.304940,0.383490,0.304940,0.383490,145,7,1,-0.25,10.32
5,0,0.384170,0.314246,0.328050,0.384170,0.328050,0.384170,137,5,0,-0.25,12.41
6,0,0.387630,0.322826,0.340480,0.387630,0.340480,0.387630,121,4,0,-0.25,10.75
7,0,0.387630,0.333802,0.344860,0.387630,0.344860,0.387630,115,4,0,-0.25,16.29
8,0,0.394110,0.338783,0.350890,0.394110,0.350890,0.394110,109,7,1,-0.25,13.15
9,0,0.406610,0.347899,0.369120,0.406610,0.369120,0.406610,108,10,1,-0.25,14.74
10,0,0.406610,0.349967,0.372010,0.406610,0.372010,0.406610,106,10,1,-0.25,14.84
11,0,0.406610,0.353081,0.373500,0.406610,0.373500,0.406610,99,10,1,-0.25,13.35
12,0,0.406610,0.356635,0.383490,0.406610,0.383490,0.406610,106,10,1,-0.25,17.96
13,0,0.407210,0.357036,0.384220,0.407210,0.384220,0.407210,105,5,2,-0.25,18.53
14,0,0.407210,0.356246,0.386010,0.407210,0.386010,0.407210,112,5,2,-0.25,15.77
15,0,0.407840,0.357374,0.387490,0.407840,0.387490,0.407840,114,11,2,-0.25,15.94
16,0,0.408000,0.359885,0.388180,0.408000,0.388180,0.408000,124,8,2,-0.25,15.92
17,0,0.408000,0.366551,0.389730,0.408000,0.389730,0.408000,134,8,2,-0.25,14.38
18,0,0.408000,0.366708,0.389940,0.408000,0.389940,0.408000,140,8,2,-0.25,18.47
19,0,0.408000,0.366655,0.392590,0.408000,0.392590,0.408000,142,8,2,-0.25,18.19
20,0,0.411760,0.370016,0.394770,0.411760,0.394770,0.411760,144,10,4,-0.25,16.82
21,0,0.411760,0.372855,0.397010,0.411760,0.397010,0.411760,162,10,4,-0.25,20.17
22,0,0.411760,0.373458,0.398590,0.411760,0.398590,0.411760,166,10,4,-0.25,21.64
23,0,0.415430,0.377157,0.400360,0.415430,0.400360,0.415430,167,9,5,-0.25,16.06
24,0,0.415430,0.376427,0.401260,0.415430,0.401260,0.415430,177,9,5,-0.25,25.58
25,0,0.415430,0.377602,0.403000,0.415430,0.403000,0.415430,178,9,5,-0.25,23.82
26,0,0.415430,0.379946,0.404030,0.415430,0.404030,0.415430,166,9,5,-0.25,20.68
27,0,0.415720,0.381368,0.407210,0.415720,0.407210,0.415720,163,8,5,-0.25,25.45
28,0,0.415720,0.381624,0.407210,0.415720,0.407210,0.415720,166,8,5,-0.25,20.67
29,0,0.416620,0.383800,0.407500,0.416620,0.407500,0.416620,159,9,5,-0.25,18.67
30,0,0.416620,0.386793,0.407840,0.416620,0.407840,0.416620,156,9,5,-0.25,18.60
31,0,0.416620,0.387080,0.408340,0.416620,0.408340,0.416620,170,9,5,-0.25,15.45
32,0,0.416620,0.383599,0.408340,0.416620,0.408340,0.416620,169,9,5,-0.25,18.11
33,0,0.416620,0.384852,0.409190,0.416620,0.409190,0.416620,172,9,5,-0.25,15.85
34,0,0.416620,0.385959,0.413390,0.416620,0.413390,0.416620,169,9,5,-0.25,16.35
35,0,0.416620,0.389071,0.415430,0.416620,0.415430,0.416620,173,9,5,-0.25,17.83
36,0,0.416840,0.385218,0.415720,0.416840,0.415720,0.416840,178,11,6,-0.25,22.53
37,0,0.416840,0.388145,0.415720,0.416840,0.415720,0.416840,184,11,6,-0.25,18.02
38,0,0.416840,0.390210,0.416570,0.416840,0.416570,0.416840,184,11,6,-0.25,18.16
39,0,0.420630,0.387880,0.416620,0.420630,0.416620,0.420630,198,13,7,-0.25,24.45
40,0,0.420630,0.391727,0.416620,0.420630,0.416620,0.420630,219,13,7,-0.25,23.28
41,0,0.420630,0.393589,0.416620,0.420630,0.416620,0.420630,212,13,7,-0.25,18.81
42,0,0.420630,0.395193,0.416620,0.420630,0.416620,0.420630,226,13,7,-0.25,18.76
43,0,0.420630,0.396953,0.416620,0.420630,0.416620,0.420630,224,13,7,-0.25,19.28
44,0,0.420630,0.396311,0.416620,0.420630,0.416620,0.420630,234,13,7,-0.25,18.73
45,0,0.421430,0.399113,0.416690,0.421430,0.416690,0.421430,217,16,7,-0.25,17.27
46,0,0.421430,0.399624,0.416840,0.421430,0.416840,0.421430,231,16,7,-0.25,16.50
47,0,0.421430,0.397732,0.416840,0.421430,0.416840,0.421430,222,16,7,-0.25,18.91
48,0,0.421430,0.395411,0.416840,0.421430,0.416840,0.421430,229,16,7,-0.25,18.45
49,0,0.421430,0.396755,0.416840,0.421430,0.416840,0.421430,236,16,7,-0.25,20.26
50,0,0.421430,0.395483,0.416840,0.421430,0.416840,0.421430,238,16,7,-0.25,20.37
51,0,0.421430,0.398324,0.416840,0.421430,0.416840,0.421430,254,16,7,-0.25,19.40
52,0,0.421430,0.397051,0.416840,0.421430,0.416840,0.421430,254,16,7,-0.25,18.05
53,0,0.421720,0.398344,0.416840,0.421720,0.416840,0.421720,245,21,9,-0.25,18.49
54,0,0.421800,0.397208,0.416840,0.421800,0.416840,0.421800,225,18,8,-0.25,20.76
55,0,0.421800,0.398431,0.416860,0.421800,0.416860,0.421800,217,18,8,-0.25,20.12
56,0,0.422040,0.397731,0.417040,0.422040,0.417040,0.422040,202,19,9,-0.25,21.69
57,0,0.422040,0.396354,0.419690,0.422040,0.419690,0.422040,198,19,9,-0.25,21.82
58,0,0.422530,0.393363,0.421430,0.422530,0.421430,0.422530,190,19,8,-0.25,21.81
59,0,0.422530,0.393981,0.421430,0.422530,0.421430,0.422530,194,19,8,-0.25,25.26
60,0,0.422960,0.390010,0.421430,0.422960,0.421430,0.422960,179,20,8,-0.25,22.71
61,0,0.422960,0.391668,0.421430,0.422960,0.421430,0.422960,195,20,8,-0.25,29.71
62,0,0.422960,0.392320,0.421580,0.422960,0.421580,0.422960,205,20,8,-0.25,25.29
63,0,0.422960,0.389539,0.421790,0.422960,0.421790,0.422960,196,21,8,-0.25,24.36
64,0,0.422960,0.391402,0.421800,0.422960,0.421800,0.422960,193,21,8,-0.25,27.55
65,0,0.422960,0.393856,0.421800,0.422960,0.421800,0.422960,204,21,8,-0.25,23.06
66,0,0.422980,0.392276,0.421800,0.422980,0.421800,0.422980,211,21,8,-0.25,26.01
67,0,0.423350,0.393009,0.422040,0.423350,0.422040,0.423350,216,23,10,-0.25,26.41
68,0,0.423350,0.391790,0.422040,0.423350,0.422040,0.423350,223,23,10,-0.25,28.87
69,0,0.423350,0.390735,0.422260,0.423350,0.422260,0.423350,217,23,10,-0.25,25.15
70,0,0.423350,0.393511,0.422530,0.423350,0.422530,0.423350,206,23,10,-0.25,22.66
71,0,0.423350,0.394373,0.422570,0.423350,0.422570,0.423350,212,23,10,-0.25,22.72
72,0,0.423350,0.395013,0.422710,0.423350,0.422710,0.423350,210,23,10,-0.25,21.76
73,0,0.423350,0.397977,0.422960,0.423350,0.422960,0.423350,210,23,10,-0.25,22.86
74,0,0.423350,0.398888,0.422960,0.423350,0.422960,0.423350,206,23,10,-0.25,23.57
75,0,0.423470,0.397794,0.422960,0.423470,0.422960,0.423470,200,22,10,-0.25,27.15
76,0,0.423490,0.395874,0.422980,0.423490,0.422980,0.423490,200,23,10,-0.25,31.34
77,0,0.423490,0.398529,0.423080,0.423490,0.423080,0.423490,191,23,10,-0.25,32.28
78,0,0.425700,0.398335,0.423100,0.425700,0.423100,0.425700,197,25,10,-0.25,31.47
79,0,0.425700,0.398675,0.423190,0.425700,0.423190,0.425700,198,25,10,-0.25,31.79
80,0,0.425700,0.396543,0.423310,0.425700,0.423310,0.425700,195,25,10,-0.25,27.33
81,0,0.425700,0.398060,0.423350,0.425700,0.423350,0.425700,205,25,10,-0.25,21.66
82,0,0.425730,0.398037,0.423350,0.425730,0.423350,0.425730,190,26,10,-0.25,22.78
83,0,0.427410,0.401956,0.423470,0.427410,0.423470,0.427410,212,29,12,-0.25,22.46
