generation,phase,best_fitness,avg_fitness,median_fitness,best_delta,median_delta,global_best_fitness,n_species,n_connections_best,n_hidden_best,oracle_tax,elapsed_sec
84,0,0.427410,0.401307,0.423470,0.427410,0.423470,0.427410,225,29,12,-0.25,22.38
85,0,0.428060,0.401759,0.423470,0.428060,0.423470,0.428060,230,26,11,-0.25,22.97
86,0,0.428060,0.402521,0.423490,0.428060,0.423490,0.428060,224,26,11,-0.25,23.65
87,0,0.428060,0.402740,0.423500,0.428060,0.423500,0.428060,220,26,11,-0.25,23.74
88,0,0.428400,0.401975,0.423510,0.428400,0.423510,0.428400,208,29,11,-0.25,23.41
89,0,0.428400,0.405407,0.423520,0.428400,0.423520,0.428400,221,29,11,-0.25,24.91
90,0,0.430090,0.405169,0.423520,0.430090,0.423520,0.430090,206,25,11,-0.25,25.69
91,0,0.430090,0.408945,0.423530,0.430090,0.423530,0.430090,215,25,11,-0.25,24.36
92,0,0.430310,0.407629,0.423550,0.430310,0.423550,0.430310,201,32,12,-0.25,25.31
93,0,0.430310,0.409538,0.423740,0.430310,0.423740,0.430310,197,32,12,-0.25,25.36
94,0,0.430310,0.410280,0.425430,0.430310,0.425430,0.430310,194,32,12,-0.25,25.16
95,0,0.430520,0.411615,0.426630,0.430520,0.426630,0.430520,172,29,12,-0.25,25.54
96,0,0.432120,0.413229,0.427410,0.432120,0.427410,0.432120,166,34,14,-0.25,27.55
97,0,0.433810,0.411400,0.427860,0.433810,0.427860,0.433810,173,34,13,-0.25,26.00
98,0,0.434020,0.412251,0.428240,0.434020,0.428240,0.434020,177,36,14,-0.25,26.44
99,0,0.434500,0.413644,0.428410,0.434500,0.428410,0.434500,172,35,13,-0.25,25.68
100,0,0.436250,0.412227,0.429010,0.436250,0.429010,0.436250,164,36,14,-0.25,29.63
101,0,0.436250,0.409293,0.429170,0.436250,0.429170,0.436250,160,36,14,-0.25,30.36
102,0,0.436250,0.409752,0.429870,0.436250,0.429870,0.436250,176,36,14,-0.25,34.46
103,0,0.438120,0.412169,0.430040,0.438120,0.430040,0.438120,192,38,14,-0.25,35.31
104,0,0.438380,0.414718,0.430250,0.438380,0.430250,0.438380,208,39,14,-0.25,32.48
105,0,0.439200,0.413027,0.430340,0.439200,0.430340,0.439200,218,38,14,-0.25,34.68
106,0,0.439200,0.413953,0.430470,0.439200,0.430470,0.439200,217,38,14,-0.25,34.59
107,0,0.439220,0.416717,0.430710,0.439220,0.430710,0.439220,220,39,14,-0.25,33.23
108,0,0.439590,0.416823,0.431050,0.439590,0.431050,0.439590,220,40,15,-0.25,30.57
109,0,0.439590,0.416704,0.431290,0.439590,0.431290,0.439590,218,40,15,-0.25,31.83
110,0,0.439590,0.419228,0.431510,0.439590,0.431510,0.439590,228,40,15,-0.25,31.16
111,0,0.439710,0.421010,0.431770,0.439710,0.431770,0.439710,233,40,16,-0.25,33.08
112,0,0.439710,0.418882,0.432040,0.439710,0.432040,0.439710,226,40,16,-0.25,32.51
113,0,0.439720,0.420936,0.433520,0.439720,0.433520,0.439720,227,40,16,-0.25,34.61
114,0,0.439720,0.420623,0.433870,0.439720,0.433870,0.439720,225,41,16,-0.25,30.62
115,0,0.439720,0.420977,0.434020,0.439720,0.434020,0.439720,220,41,16,-0.25,31.83
116,0,0.439720,0.418664,0.434660,0.439720,0.434660,0.439720,222,41,16,-0.25,35.43
117,0,0.440120,0.422760,0.435350,0.440120,0.435350,0.440120,203,43,16,-0.25,34.62
118,0,0.440120,0.422427,0.437520,0.440120,0.437520,0.440120,207,43,16,-0.25,38.99
119,0,0.440120,0.422143,0.439040,0.440120,0.439040,0.440120,198,43,16,-0.25,35.07
120,0,0.440140,0.421365,0.439450,0.440140,0.439450,0.440140,190,44,17,-0.25,35.24
121,0,0.441170,0.421122,0.439570,0.441170,0.439570,0.441170,176,44,16,-0.25,36.96
122,0,0.441170,0.421818,0.439590,0.441170,0.439590,0.441170,182,44,16,-0.25,39.26
123,0,0.441170,0.421419,0.439590,0.441170,0.439590,0.441170,196,44,16,-0.25,35.90
124,0,0.441220,0.425136,0.439700,0.441220,0.439700,0.441220,202,44,16,-0.25,42.24
125,0,0.441220,0.423944,0.439720,0.441220,0.439720,0.441220,191,44,16,-0.25,44.16
126,0,0.441220,0.423291,0.439730,0.441220,0.439730,0.441220,194,44,16,-0.25,45.20
127,0,0.441220,0.424302,0.439860,0.441220,0.439860,0.441220,193,44,16,-0.25,59.10
128,0,0.441250,0.422946,0.440070,0.441250,0.440070,0.441250,192,45,17,-0.25,54.75
129,0,0.441250,0.423489,0.440120,0.441250,0.440120,0.441250,186,45,17,-0.25,58.36
130,0,0.441250,0.424298,0.440140,0.441250,0.440140,0.441250,191,45,17,-0.25,102.19
131,0,0.441250,0.424024,0.441150,0.441250,0.441150,0.441250,186,45,17,-0.25,101.59
132,0,0.441250,0.426210,0.441170,0.441250,0.441170,0.441250,186,45,17,-0.25,85.90
133,0,0.441260,0.422500,0.441170,0.441260,0.441170,0.441260,188,49,18,-0.25,96.21
134,0,0.441310,0.422642,0.441170,0.441310,0.441170,0.441310,198,45,16,-0.25,113.90
135,0,0.441340,0.424013,0.441170,0.441340,0.441170,0.441340,215,47,16,-0.25,85.43
136,0,0.441440,0.424033,0.441170,0.441440,0.441170,0.441440,218,45,18,-0.25,57.98
137,0,0.441440,0.421766,0.441170,0.441440,0.441170,0.441440,219,45,18,-0.25,58.43
138,0,0.441440,0.423067,0.441170,0.441440,0.441170,0.441440,231,45,18,-0.25,44.10
139,0,0.441440,0.426705,0.441200,0.441440,0.441200,0.441440,231,45,18,-0.25,47.38
140,0,0.441440,0.425000,0.441200,0.441440,0.441200,0.441440,233,45,18,-0.25,69.49
141,0,0.441460,0.424303,0.441220,0.441460,0.441220,0.441460,235,49,17,-0.25,73.29
142,0,0.441630,0.425309,0.441220,0.441630,0.441220,0.441630,222,50,19,-0.25,85.88
143,0,0.441630,0.427388,0.441220,0.441630,0.441220,0.441630,222,50,19,-0.25,54.33
144,0,0.441630,0.427646,0.441220,0.441630,0.441220,0.441630,218,50,19,-0.25,45.42
145,0,0.441630,0.426090,0.441220,0.441630,0.441220,0.441630,216,50,19,-0.25,59.10
146,0,0.441670,0.425906,0.441230,0.441670,0.441230,0.441670,215,51,20,-0.25,45.16
147,0,0.441670,0.427427,0.441250,0.441670,0.441250,0.441670,223,50,19,-0.25,97.95
148,0,0.441670,0.429240,0.441270,0.441670,0.441270,0.441670,220,51,19,-0.25,54.38
149,0,0.441670,0.426659,0.441290,0.441670,0.441290,0.441670,219,51,19,-0.25,47.51
150,0,0.441710,0.427162,0.441310,0.441710,0.441310,0.441710,225,52,20,-0.25,41.37
151,0,0.441710,0.425475,0.441310,0.441710,0.441310,0.441710,214,52,20,-0.25,44.68
152,0,0.441770,0.428687,0.441330,0.441770,0.441330,0.441770,215,54,18,-0.25,42.32
153,0,0.441770,0.429536,0.441330,0.441770,0.441330,0.441770,214,54,18,-0.25,46.35
154,0,0.441800,0.428936,0.441400,0.441800,0.441400,0.441800,206,54,18,-0.25,50.44
155,0,0.441800,0.427625,0.441430,0.441800,0.441430,0.441800,197,54,18,-0.25,51.35
156,0,0.441830,0.426371,0.441440,0.441830,0.441440,0.441830,183,52,18,-0.25,42.66
157,0,0.441830,0.428480,0.441440,0.441830,0.441440,0.441830,192,52,18,-0.25,43.50
158,0,0.441850,0.427064,0.441460,0.441850,0.441460,0.441850,184,56,19,-0.25,43.41
159,0,0.441990,0.426948,0.441520,0.441990,0.441520,0.441990,179,58,19,-0.25,45.00
160,0,0.441990,0.424557,0.441520,0.441990,0.441520,0.441990,189,58,19,-0.25,44.62
161,0,0.442290,0.422441,0.441520,0.442290,0.441520,0.442290,193,53,18,-0.25,45.77
162,0,0.442360,0.424265,0.441540,0.442360,0.441540,0.442360,206,58,20,-0.25,38.95
163,0,0.442360,0.423703,0.441560,0.442360,0.441560,0.442360,198,58,20,-0.25,43.04
164,0,0.442390,0.426121,0.441570,0.442390,0.441570,0.442390,201,57,21,-0.25,36.94
165,0,0.442480,0.427766,0.441580,0.442480,0.441580,0.442480,201,60,21,-0.25,37.22
166,0,0.442660,0.428343,0.441670,0.442660,0.441670,0.442660,202,55,21,-0.25,37.84
167,0,0.442660,0.431031,0.441770,0.442660,0.441770,0.442660,209,55,21,-0.25,37.92
168,0,0.442660,0.428315,0.441850,0.442660,0.441850,0.442660,208,55,21,-0.25,41.00
169,0,0.442690,0.427966,0.441870,0.442690,0.441870,0.442690,214,55,19,-0.25,41.20
170,0,0.442690,0.425729,0.441880,0.442690,0.441880,0.442690,201,55,19,-0.25,44.49
171,0,0.442690,0.427100,0.441950,0.442690,0.441950,0.442690,206,55,19,-0.25,45.11
172,0,0.442730,0.427943,0.442040,0.442730,0.442040,0.442730,196,57,22,-0.25,59.48
173,0,0.442730,0.428919,0.442300,0.442730,0.442300,0.442730,198,57,22,-0.25,55.78
174,0,0.442740,0.428147,0.442310,0.442740,0.442310,0.442740,189,63,22,-0.25,62.35
175,0,0.442750,0.428708,0.442360,0.442750,0.442360,0.442750,196,61,20,-0.25,65.02
176,0,0.442850,0.426414,0.442390,0.442850,0.442390,0.442850,184,60,22,-0.25,67.35
177,0,0.442910,0.427872,0.442480,0.442910,0.442480,0.442910,191,58,23,-0.25,60.58
178,0,0.442910,0.428260,0.442500,0.442910,0.442500,0.442910,176,58,23,-0.25,58.27
179,0,0.442910,0.424813,0.442560,0.442910,0.442560,0.442910,178,58,23,-0.25,64.64
180,0,0.443270,0.425402,0.442570,0.443270,0.442570,0.443270,173,59,20,-0.25,64.00
181,0,0.443270,0.428248,0.442650,0.443270,0.442650,0.443270,181,59,20,-0.25,69.05
182,0,0.443270,0.423393,0.442660,0.443270,0.442660,0.443270,183,59,20,-0.25,58.50
183,0,0.443430,0.424044,0.442680,0.443430,0.442680,0.443430,181,61,21,-0.25,50.28
184,0,0.443430,0.426486,0.442700,0.443430,0.442700,0.443430,174,61,21,-0.25,52.16
185,0,0.443430,0.425201,0.442730,0.443430,0.442730,0.443430,174,61,21,-0.25,59.22
186,0,0.443480,0.427414,0.442770,0.443480,0.442770,0.443480,176,63,21,-0.25,64.81
187,0,0.443560,0.428157,0.442810,0.443560,0.442810,0.443560,183,63,22,-0.25,50.30
188,0,0.443560,0.428796,0.442840,0.443560,0.442840,0.443560,198,63,22,-0.25,49.12
189,0,0.443590,0.429570,0.442850,0.443590,0.442850,0.443590,195,65,23,-0.25,44.77
190,0,0.443590,0.430786,0.442870,0.443590,0.442870,0.443590,185,65,23,-0.25,47.37
191,0,0.443590,0.430502,0.442920,0.443590,0.442920,0.443590,194,65,23,-0.25,63.42
192,0,0.443590,0.431681,0.442930,0.443590,0.442930,0.443590,192,65,23,-0.25,55.13
193,0,0.443590,0.430700,0.442940,0.443590,0.442940,0.443590,199,65,23,-0.25,45.25
194,0,0.443630,0.430364,0.442950,0.443630,0.442950,0.443630,202,65,23,-0.25,44.72
195,0,0.443630,0.429069,0.442950,0.443630,0.442950,0.443630,205,65,23,-0.25,41.46
196,0,0.443640,0.428744,0.442950,0.443640,0.442950,0.443640,202,67,23,-0.25,41.56
197,0,0.443640,0.428922,0.442960,0.443640,0.442960,0.443640,196,67,23,-0.25,42.74
198,0,0.443640,0.428624,0.442990,0.443640,0.442990,0.443640,203,67,23,-0.25,51.28
199,0,0.443660,0.429545,0.443150,0.443660,0.443150,0.443660,209,66,23,-0.25,49.71
200,1,0.027344,-0.085066,-0.087891,0.027344,-0.087891,0.027344,209,67,24,-0.25,8.51
201,1,-0.042969,-0.103359,-0.105469,-0.042969,-0.105469,0.027344,204,65,23,-0.26,14.94
202,1,0.037109,-0.066508,-0.089844,0.037109,-0.089844,0.037109,223,68,24,-0.27,2.96
203,1,0.031250,-0.024471,-0.027344,0.031250,-0.027344,0.037109,238,67,23,-0.28,10.07
204,1,0.039062,-0.009193,-0.009766,0.039062,-0.009766,0.039062,249,64,23,-0.29,2.84
205,1,0.021484,-0.039299,-0.041016,0.021484,-0.041016,0.039062,257,67,25,-0.30,15.99
206,1,-0.052734,-0.102965,-0.099609,-0.052734,-0.099609,0.039062,248,69,24,-0.30,23.00
207,1,0.000000,-0.040730,-0.031250,0.000000,-0.031250,0.039062,250,66,24,-0.31,3.08
208,1,-0.011719,-0.050258,-0.048828,-0.011719,-0.048828,0.039062,268,68,25,-0.32,15.47
209,1,0.044922,-0.001064,-0.001953,0.044922,-0.001953,0.044922,267,66,25,-0.33,8.54
210,1,0.015625,-0.030689,-0.029297,0.015625,-0.029297,0.044922,255,66,24,-0.34,13.68
211,1,-0.029297,-0.073734,-0.070312,-0.029297,-0.070312,0.044922,258,68,26,-0.35,14.74
212,1,-0.044922,-0.069043,-0.064453,-0.044922,-0.064453,0.044922,254,66,24,-0.36,7.64
213,1,0.044922,0.012422,0.015625,0.044922,0.015625,0.044922,244,70,25,-0.37,3.06
214,1,0.025391,-0.035957,-0.039062,0.025391,-0.039062,0.044922,236,70,26,-0.38,12.44
215,1,0.058594,-0.004492,-0.003906,0.058594,-0.003906,0.058594,250,68,24,-0.39,21.58
216,1,0.044922,0.011754,0.013672,0.044922,0.013672,0.058594,260,69,25,-0.40,14.15
217,1,-0.013672,-0.038307,-0.037109,-0.013672,-0.037109,0.058594,255,76,27,-0.41,15.00
218,1,-0.046875,-0.094689,-0.093750,-0.046875,-0.093750,0.058594,249,68,25,-0.41,13.73
219,1,0.044922,-0.000244,0.001953,0.044922,0.001953,0.058594,269,70,25,-0.42,9.43
220,1,-0.027344,-0.087025,-0.082031,-0.027344,-0.082031,0.058594,261,69,24,-0.43,18.42
221,1,0.048828,0.013516,0.013672,0.048828,0.013672,0.058594,259,76,25,-0.44,14.23
222,1,0.048828,-0.012930,-0.011719,0.048828,-0.011719,0.058594,263,79,27,-0.45,9.69
223,1,0.025391,0.002510,0.003906,0.025391,0.003906,0.058594,258,69,26,-0.46,3.20
224,1,0.009766,-0.037045,-0.035156,0.009766,-0.035156,0.058594,250,70,25,-0.47,9.67
225,1,-0.003906,-0.063646,-0.064453,-0.003906,-0.064453,0.058594,246,70,25,-0.48,16.21
226,1,-0.011719,-0.052756,-0.054688,-0.011719,-0.054688,0.058594,243,74,27,-0.49,12.64
227,1,0.048828,-0.005982,-0.007812,0.048828,-0.007812,0.058594,261,74,25,-0.50,7.76
228,1,-0.011719,-0.065449,-0.064453,-0.011719,-0.064453,0.058594,258,70,25,-0.51,13.45
229,1,-0.037109,-0.082457,-0.082031,-0.037109,-0.082031,0.058594,259,71,25,-0.52,7.34
230,1,0.013672,-0.030107,-0.031250,0.013672,-0.031250,0.058594,267,71,25,-0.53,7.21
231,1,0.023438,-0.048436,-0.048828,0.023438,-0.048828,0.058594,263,73,26,-0.53,11.66
232,1,0.015625,-0.042023,-0.041016,0.015625,-0.041016,0.058594,272,73,26,-0.54,12.52
233,1,0.005859,-0.019342,-0.017578,0.005859,-0.017578,0.058594,265,73,26,-0.55,2.63
234,1,0.072266,0.009697,0.007812,0.072266,0.007812,0.072266,258,71,24,-0.56,11.84
235,1,0.025391,-0.005719,-0.001953,0.025391,-0.001953,0.072266,250,76,28,-0.57,2.64
236,1,0.046875,-0.021311,-0.019531,0.046875,-0.019531,0.072266,256,72,25,-0.58,11.87
237,1,0.001953,-0.066441,-0.066406,0.001953,-0.066406,0.072266,257,72,27,-0.59,12.11
238,1,0.035156,-0.021248,-0.023438,0.035156,-0.023438,0.072266,259,72,25,-0.60,16.54
239,1,0.001953,-0.051869,-0.056641,0.001953,-0.056641,0.072266,260,73,26,-0.61,13.20
240,1,0.003906,-0.069098,-0.076172,0.003906,-0.076172,0.072266,261,78,27,-0.62,17.08
241,1,0.058594,-0.017213,-0.017578,0.058594,-0.017578,0.072266,261,75,28,-0.63,15.23
242,1,0.048828,-0.004139,-0.005859,0.048828,-0.005859,0.072266,260,77,29,-0.64,9.75
243,1,0.029297,-0.018482,-0.023438,0.029297,-0.023438,0.072266,269,80,27,-0.64,10.95
244,1,0.041016,0.008021,0.007812,0.041016,0.007812,0.072266,275,74,28,-0.65,10.10
245,1,0.017578,-0.020438,-0.021484,0.017578,-0.021484,0.072266,273,76,28,-0.66,9.86
246,1,0.021484,-0.011586,-0.015625,0.021484,-0.015625,0.072266,273,77,27,-0.67,10.13
247,1,0.064453,0.007721,0.005859,0.064453,0.005859,0.072266,271,74,28,-0.68,9.80
248,1,0.000000,-0.062750,-0.064453,0.000000,-0.064453,0.072266,264,76,29,-0.69,16.60
249,1,0.072266,-0.013494,-0.017578,0.072266,-0.017578,0.072266,249,80,28,-0.70,15.75
250,1,-0.005859,-0.039447,-0.041016,-0.005859,-0.041016,0.072266,241,77,27,-0.71,7.66
251,1,0.041016,0.010832,0.017578,0.041016,0.017578,0.072266,258,78,27,-0.72,2.68
252,1,0.042969,-0.005697,-0.007812,0.042969,-0.007812,0.072266,257,74,28,-0.73,6.89
253,1,-0.007812,-0.055584,-0.062500,-0.007812,-0.062500,0.072266,247,75,26,-0.74,12.23
254,1,-0.007812,-0.044854,-0.042969,-0.007812,-0.042969,0.072266,243,80,28,-0.74,7.37
255,1,0.031250,-0.017488,-0.017578,0.031250,-0.017578,0.072266,253,81,30,-0.75,2.67
256,1,0.037109,-0.003713,-0.003906,0.037109,-0.003906,0.072266,249,78,27,-0.76,7.63
257,1,0.091797,0.053621,0.050781,0.091797,0.050781,0.091797,261,68,25,-0.77,7.07
258,1,-0.029297,-0.070014,-0.072266,-0.029297,-0.072266,0.091797,262,78,27,-0.78,7.30
259,1,0.023438,-0.026797,-0.023438,0.023438,-0.023438,0.091797,262,76,28,-0.79,11.90
260,1,0.060547,0.000881,-0.001953,0.060547,-0.001953,0.091797,267,74,26,-0.80,11.47
261,1,0.035156,-0.003633,-0.003906,0.035156,-0.003906,0.091797,269,74,28,-0.81,8.00
262,1,0.025391,-0.017600,-0.021484,0.025391,-0.021484,0.091797,279,77,27,-0.82,12.34
263,1,0.011719,-0.016188,-0.015625,0.011719,-0.015625,0.091797,289,78,28,-0.83,7.77
264,1,0.042969,0.018762,0.019531,0.042969,0.019531,0.091797,283,77,27,-0.84,2.71
265,1,0.031250,-0.023975,-0.025391,0.031250,-0.025391,0.091797,273,77,28,-0.85,12.22
266,1,0.035156,0.006145,0.007812,0.035156,0.007812,0.091797,269,74,28,-0.85,7.72
267,1,-0.007812,-0.047229,-0.046875,-0.007812,-0.046875,0.091797,277,73,26,-0.86,12.79
268,1,0.031250,-0.022213,-0.021484,0.031250,-0.021484,0.091797,281,74,26,-0.87,16.98
269,1,0.046875,0.015076,0.017578,0.046875,0.017578,0.091797,263,74,28,-0.88,7.72
270,1,0.027344,0.001293,0.001953,0.027344,0.001953,0.091797,266,72,25,-0.89,2.59
271,1,-0.027344,-0.069863,-0.066406,-0.027344,-0.066406,0.091797,264,77,28,-0.90,7.63
272,1,-0.009766,-0.051596,-0.050781,-0.009766,-0.050781,0.091797,270,80,29,-0.91,7.72
273,1,0.027344,-0.024893,-0.025391,0.027344,-0.025391,0.091797,273,83,30,-0.92,12.42
274,1,0.031250,-0.000932,0.001953,0.031250,0.001953,0.091797,269,79,31,-0.93,7.99
275,1,0.013672,-0.013266,-0.009766,0.013672,-0.009766,0.091797,272,73,26,-0.94,12.41
276,1,0.035156,-0.013650,-0.005859,0.035156,-0.005859,0.091797,282,74,28,-0.95,7.43
