Candidate Bot,Opponent Bot,Win Rate (%),CI Margin (%),Avg Card Pts,Avg Game Pts
RandomBot,RandomBot,50.00,0.00,60.00,0.00
RandomBot,HeuristicBot,26.38,4.32,46.45,0.27
RandomBot,PIMCBot,48.12,4.90,59.92,0.63
RandomBot,WANN (Champion),35.62,4.69,51.15,0.37
HeuristicBot,RandomBot,73.62,4.32,73.55,0.97
HeuristicBot,HeuristicBot,50.00,0.00,60.00,0.00
HeuristicBot,PIMCBot,73.38,4.33,75.08,1.06
HeuristicBot,WANN (Champion),50.75,4.90,60.07,0.59
PIMCBot,RandomBot,51.88,4.90,60.08,0.65
PIMCBot,HeuristicBot,26.62,4.33,44.92,0.30
PIMCBot,PIMCBot,50.00,0.00,60.00,0.00
PIMCBot,WANN (Champion),30.50,4.51,48.59,0.34
WANN (Champion),RandomBot,64.38,4.69,68.86,0.81
WANN (Champion),HeuristicBot,49.25,4.90,59.93,0.57
WANN (Champion),PIMCBot,69.50,4.51,71.42,0.95
WANN (Champion),WANN (Champion),50.00,0.00,60.00,0.00
