generation,phase,lead_best_fitness,lead_avg_fitness,follow_best_fitness,follow_avg_fitness,lead_n_species,follow_n_species,lead_n_connections_best,follow_n_connections_best,lead_val_acc,follow_val_acc,fixed_probe_delta,elapsed_sec
0,0,0.221078,0.221078,0.330099,0.330099,0,0,0,0,0.218959,0.330441,0.000000,0.38
1,0,0.221078,0.221078,0.330099,0.330099,1,1,0,0,0.218959,0.330441,0.000000,0.38
2,0,0.581618,0.222112,0.330099,0.330099,1,1,1,0,0.579439,0.330441,0.000000,0.43
3,0,0.581618,0.228588,0.330099,0.330099,13,20,1,3,0.579439,0.330441,0.000000,0.46
4,0,0.581618,0.248176,0.348541,0.330118,18,20,1,2,0.579439,0.347130,0.000000,0.46
5,0,0.581988,0.300677,0.348541,0.330196,20,20,3,2,0.579439,0.347130,0.000000,0.46
6,0,0.581988,0.406535,0.387128,0.330679,20,20,3,3,0.579439,0.401202,0.000000,0.50
7,0,0.581988,0.476947,0.435047,0.332416,20,20,3,3,0.579439,0.460614,0.000000,0.53
8,0,0.581988,0.477545,0.435047,0.338848,20,20,3,3,0.579439,0.460614,0.000000,0.51
9,0,0.581988,0.497920,0.435195,0.346958,20,20,4,4,0.579439,0.459279,0.000000,0.52
10,0,0.585099,0.503398,0.435269,0.363083,20,20,5,4,0.584780,0.459279,0.000000,0.58
11,0,0.602874,0.503390,0.435491,0.374399,20,20,5,7,0.592790,0.457944,0.000000,0.59
12,0,0.602874,0.508549,0.435491,0.390343,20,20,5,7,0.592790,0.457944,0.000000,0.55
13,0,0.602874,0.511013,0.435491,0.398420,20,20,5,7,0.592790,0.457944,0.000000,0.65
14,0,0.602874,0.504762,0.435491,0.405243,20,20,5,7,0.592790,0.457944,0.000000,0.56
15,0,0.602874,0.498680,0.435491,0.409082,20,20,6,7,0.592790,0.457944,0.000000,0.55
16,0,0.602874,0.519573,0.435491,0.412280,20,20,7,7,0.592790,0.457944,0.000000,0.64
17,0,0.602874,0.523281,0.435491,0.412754,20,20,6,5,0.592790,0.457944,0.000000,0.62
18,0,0.602874,0.519213,0.435491,0.411188,20,20,6,5,0.592790,0.457944,0.000000,0.58
19,0,0.602948,0.527605,0.435491,0.416427,20,20,7,4,0.592790,0.457944,0.000000,0.69
20,0,0.602948,0.551244,0.435491,0.422367,20,20,7,10,0.592790,0.457944,0.000000,0.64
21,0,0.602948,0.559031,0.435491,0.423841,20,20,7,7,0.592790,0.457944,0.000000,0.58
22,0,0.602948,0.555827,0.435491,0.421541,20,20,8,5,0.592790,0.457944,0.000000,0.67
23,0,0.602948,0.559622,0.435491,0.422794,20,20,9,7,0.592790,0.457944,0.000000,0.64
24,0,0.602948,0.556667,0.435491,0.425019,20,20,10,6,0.592790,0.457944,0.000000,0.63
25,0,0.602948,0.566696,0.435491,0.423079,20,20,9,6,0.592790,0.457944,0.000000,0.76
26,0,0.603096,0.560933,0.435639,0.424403,20,20,11,10,0.592790,0.457944,0.000000,0.68
27,0,0.603096,0.555672,0.435935,0.424926,20,20,11,9,0.592790,0.457944,0.000000,0.63
28,0,0.603096,0.557993,0.435935,0.425185,20,20,11,9,0.592790,0.457944,0.000000,0.73
29,0,0.603096,0.562215,0.435935,0.425322,20,20,11,9,0.592790,0.457944,0.000000,0.73
30,0,0.603096,0.562354,0.435935,0.428008,20,20,11,9,0.592790,0.457944,0.000000,0.78
31,0,0.603096,0.560444,0.436380,0.427570,20,20,12,14,0.592790,0.456609,0.000000,0.75
32,0,0.603096,0.562403,0.436380,0.429669,20,20,12,14,0.592790,0.456609,0.000000,0.80
33,0,0.603096,0.562439,0.436380,0.428238,20,20,11,12,0.592790,0.460614,0.000000,0.78
34,0,0.603096,0.567588,0.436602,0.428400,20,20,11,15,0.592790,0.463284,0.000000,0.76
35,0,0.603096,0.567303,0.443045,0.427628,20,20,11,12,0.592790,0.459947,0.000000,0.90
36,0,0.603096,0.560913,0.443045,0.428532,20,20,11,12,0.592790,0.459947,0.000000,0.80
37,0,0.603096,0.566513,0.443045,0.427807,20,20,11,12,0.592790,0.459947,0.000000,0.88
38,0,0.603096,0.553938,0.443045,0.428972,20,20,11,12,0.592790,0.459947,0.000000,0.84
39,0,0.603096,0.558230,0.443045,0.427866,20,20,13,12,0.592790,0.459947,0.000000,0.95
40,0,0.603096,0.558495,0.443045,0.430624,20,20,14,12,0.592790,0.459947,0.000000,0.83
41,0,0.603096,0.553670,0.444082,0.431419,20,20,14,14,0.592790,0.463284,0.000000,0.88
42,0,0.603096,0.558805,0.444082,0.431458,20,20,15,14,0.592790,0.463284,0.000000,0.90
43,0,0.603096,0.547814,0.444082,0.432802,20,20,11,14,0.592790,0.463284,0.000000,0.88
44,0,0.603096,0.555290,0.444082,0.431733,20,20,12,14,0.592790,0.463284,0.000000,0.91
45,0,0.603170,0.558948,0.444082,0.434204,20,20,14,14,0.592790,0.463284,0.000000,0.93
46,0,0.603170,0.557949,0.447119,0.435787,20,20,16,18,0.592790,0.472630,0.000000,0.86
47,0,0.603170,0.560393,0.447119,0.434590,20,20,14,18,0.592790,0.472630,0.000000,0.93
48,0,0.603170,0.575043,0.447119,0.433836,20,20,14,18,0.592790,0.472630,0.000000,0.94
49,0,0.603170,0.556246,0.447119,0.433913,20,20,16,18,0.592790,0.472630,0.000000,1.05
50,0,0.603170,0.556283,0.447119,0.431198,20,20,16,14,0.592790,0.472630,0.000000,0.93
51,0,0.603244,0.559419,0.447119,0.433125,20,20,17,14,0.592790,0.472630,0.000000,1.01
52,0,0.603244,0.547812,0.447119,0.434525,20,20,17,21,0.592790,0.472630,0.000000,0.98
53,0,0.603244,0.566646,0.447119,0.436468,20,20,17,15,0.592790,0.472630,0.000000,1.00
54,0,0.603244,0.572978,0.447119,0.435370,20,20,18,19,0.592790,0.472630,0.000000,0.95
55,0,0.603244,0.571886,0.447119,0.436864,20,20,18,14,0.592790,0.472630,0.000000,1.01
56,0,0.603244,0.562443,0.447119,0.432499,20,20,18,14,0.592790,0.472630,0.000000,0.96
57,0,0.603244,0.570685,0.447119,0.433798,20,20,16,14,0.592790,0.472630,0.000000,1.01
