generation,phase,lead_best_fitness,lead_avg_fitness,follow_best_fitness,follow_avg_fitness,lead_n_species,follow_n_species,lead_n_connections_best,follow_n_connections_best,elapsed_sec
449,1,-0.675781,-1.176520,-0.806641,-1.389691,247,251,25,55,3.06
450,1,-1.195312,-1.557271,-1.601562,-2.351674,243,255,28,61,2.49
451,1,0.474609,0.083699,0.392578,-0.110416,238,265,28,54,1.97
452,1,-0.251953,-0.569316,-0.597656,-1.044385,247,253,28,56,1.50
453,1,-0.882812,-1.760365,-0.558594,-1.125543,251,249,26,61,2.06
454,1,-0.001953,-0.355301,0.017578,-0.361631,262,246,26,55,2.13
455,1,-0.445312,-1.885752,-1.357422,-1.694041,259,247,25,64,3.72
456,1,-0.548828,-0.866916,-0.173828,-0.507793,252,232,25,59,3.15
457,1,-0.833984,-1.697334,0.320312,-0.477207,239,246,26,65,3.15
458,1,-0.554688,-1.083656,-1.968750,-2.360646,238,251,25,60,2.79
459,1,-0.111328,-0.524961,0.064453,-0.750699,239,249,26,58,2.08
460,1,-1.488281,-1.980002,-0.732422,-1.054402,235,255,27,57,1.94
461,1,-0.111328,-0.465184,0.589844,0.162590,243,246,26,59,1.46
462,1,-0.312500,-0.736160,0.835938,0.201619,233,249,27,60,3.10
463,1,-0.591797,-1.556721,-1.050781,-1.418223,239,255,25,57,1.41
464,1,0.802734,-0.365168,-1.576172,-1.898521,237,260,27,57,3.08
465,1,-0.435547,-1.098234,-0.861328,-1.273033,238,258,26,62,2.08
466,1,-0.048828,-0.861330,-0.437500,-1.008869,236,255,23,59,3.15
467,1,0.789062,0.116732,0.076172,-0.328416,229,265,27,61,2.61
468,1,-0.062500,-0.668357,-1.144531,-1.554770,241,253,26,56,2.71
469,1,-1.244141,-2.088107,-0.310547,-0.657709,245,246,30,56,2.65
470,1,-0.871094,-1.249359,-0.878906,-1.524135,250,252,27,54,3.05
471,1,-1.232422,-1.777480,-0.208984,-0.667789,245,265,25,56,2.09
472,1,-0.998047,-1.474119,1.066406,0.420234,248,253,27,52,1.50
473,1,0.621094,0.111945,-1.679688,-2.041041,245,245,26,52,2.04
474,1,-1.990234,-2.486682,-0.066406,-0.476070,245,255,26,57,2.03
475,1,1.453125,0.618045,-0.917969,-1.322666,248,259,26,63,2.59
476,1,-0.617188,-1.108441,-1.859375,-2.758178,256,265,27,63,4.23
477,1,-0.728516,-1.518484,-0.064453,-0.382984,271,265,24,62,2.01
478,1,1.109375,-1.198547,-0.794922,-1.529451,270,274,28,51,2.62
479,1,1.025391,0.095398,0.605469,0.251715,267,270,27,57,1.94
480,1,-0.052734,-0.754443,-0.835938,-1.427838,265,273,25,52,2.47
481,1,0.074219,-0.336607,0.033203,-0.497238,262,276,25,57,1.49
482,1,-1.302734,-1.747777,-0.392578,-0.919570,282,277,26,54,3.58
483,1,-0.791016,-1.117926,-0.378906,-1.152074,277,233,29,56,2.07
484,1,-0.693359,-1.647881,0.296875,-0.168990,287,255,26,56,2.68
485,1,-0.451172,-0.844500,-0.988281,-1.395223,290,258,24,61,2.08
486,1,0.453125,-0.324930,-0.931641,-1.353438,276,258,28,54,1.49
487,1,-0.246094,-1.421873,-1.162109,-1.474051,281,261,24,61,3.19
488,1,-0.306641,-0.917619,-1.056641,-1.379320,280,263,24,59,2.06
489,1,-1.376953,-2.147373,-1.046875,-1.576699,274,260,30,57,1.47
490,1,0.000000,-0.993674,-1.253906,-1.676746,274,267,25,58,2.52
491,1,-1.324219,-1.878547,0.404297,0.059145,275,267,27,57,2.06
492,1,0.095703,-1.285443,-0.318359,-0.924545,273,270,27,57,2.60
493,1,-0.496094,-0.838986,-1.373047,-1.941406,273,262,29,64,2.56
494,1,0.000000,-0.664945,-1.736328,-2.077201,270,264,25,66,2.72
495,1,-1.214844,-1.851768,0.292969,-1.023455,278,272,31,53,3.29
496,1,-1.552734,-1.912777,-0.591797,-1.124102,269,268,31,58,2.59
497,1,-1.347656,-1.794953,-0.677734,-1.017547,286,263,25,56,3.25
498,1,-0.140625,-1.394945,-0.294922,-0.693193,281,259,24,55,2.01
499,1,-1.912109,-2.357143,-1.037109,-1.474754,281,255,24,62,2.64
500,1,0.064453,-0.306248,-1.523438,-1.887307,278,240,25,57,1.95
501,1,-1.738281,-2.283260,-0.498047,-1.013621,277,249,25,55,2.09
502,1,-0.357422,-1.026031,0.072266,-0.482734,288,245,25,57,2.64
503,1,-1.085938,-1.446906,0.478516,-0.074545,288,228,29,62,2.11
504,1,-1.126953,-1.426777,-0.416016,-0.773764,283,254,24,55,1.50
505,1,0.193359,-0.227854,0.095703,-0.345725,280,261,25,53,3.07
506,1,-2.169922,-3.663229,-0.865234,-1.253857,275,258,25,58,3.68
507,1,-0.730469,-1.204145,-0.507812,-1.274146,280,261,27,55,2.66
508,1,0.142578,-0.498170,0.382812,-0.427916,275,256,24,55,1.48
509,1,0.320312,-0.487967,0.142578,-0.259037,271,260,25,65,2.14
510,1,-1.244141,-1.666744,-0.291016,-0.716383,272,258,28,53,3.08
511,1,1.164062,0.737000,-0.542969,-1.118131,269,255,26,58,2.05
512,1,0.701172,0.163619,0.503906,-0.287342,266,254,28,59,2.07
513,1,-0.769531,-1.168855,-1.037109,-1.821139,259,194,26,52,3.03
514,1,0.744141,0.196260,-1.353516,-1.989396,262,226,27,59,3.12
515,1,-1.005859,-2.332846,-0.636719,-1.477211,266,226,27,60,2.60
516,1,0.609375,0.108762,-1.796875,-2.299035,166,232,30,55,2.03
517,1,0.187500,-0.618580,-2.076172,-2.633246,206,235,27,50,2.71
518,1,-0.970703,-1.436072,-0.689453,-1.222992,234,236,29,52,2.05
519,1,-1.931641,-2.340740,-2.396484,-3.278998,251,236,27,59,3.65
520,1,-0.701172,-0.984094,-1.425781,-1.920432,238,223,26,59,2.44
521,1,-1.769531,-2.370088,-1.623047,-2.037521,245,235,26,55,2.54
522,1,-1.865234,-2.505896,-1.056641,-1.728008,251,237,26,56,2.58
523,1,-0.054688,-0.484221,-0.166016,-0.720682,252,244,30,51,1.53
524,1,0.089844,-0.157693,0.363281,-0.062682,253,249,26,58,1.50
525,1,-0.417969,-1.226301,0.119141,-0.307129,254,236,26,51,1.97
526,1,-1.638672,-2.181559,-0.285156,-1.051432,266,249,27,60,2.61
527,1,-0.173828,-0.482029,-1.064453,-1.711189,260,238,25,53,2.01
528,1,0.171875,-0.398656,-1.066406,-1.664402,276,246,24,59,2.05
529,1,0.541016,0.129727,-0.417969,-1.064945,279,259,26,52,3.15
530,1,-1.044922,-1.507484,-0.107422,-0.861143,272,250,24,52,3.07
531,1,-2.412109,-2.910326,-0.177734,-0.759275,266,241,26,58,3.82
532,1,-1.046875,-1.795941,-0.734375,-1.365865,260,245,25,55,3.10
533,1,-0.541016,-1.024391,-0.572266,-1.161400,272,253,26,55,1.48
534,1,-1.451172,-1.791658,-0.703125,-1.186512,276,244,26,55,1.51
535,1,0.160156,-0.154846,-0.681641,-1.217145,282,255,26,51,2.05
536,1,-0.457031,-2.134537,-0.921875,-1.290932,273,245,23,52,2.04
537,1,0.136719,-0.946703,-0.349609,-1.020334,288,240,27,55,3.79
538,1,-0.558594,-1.362342,-1.373047,-1.828482,283,217,25,52,2.61
539,1,-0.746094,-1.676973,0.396484,-0.101160,272,233,25,51,3.10
540,1,0.128906,-0.547445,-2.421875,-2.852842,275,230,26,64,2.53
541,1,-1.548828,-2.304029,0.458984,0.090975,279,242,25,49,2.63
542,1,-0.062500,-0.413580,-1.265625,-1.773127,293,232,28,52,2.61
543,1,-1.015625,-1.388207,-0.626953,-1.139645,290,241,28,53,1.48
544,1,-0.697266,-1.122752,-0.505859,-1.064902,297,251,26,49,2.56
545,1,-2.062500,-2.612338,0.582031,-0.476283,300,252,25,52,3.11
546,1,-1.693359,-2.105828,-1.693359,-2.486783,302,244,27,51,2.63
547,1,-0.978516,-1.391869,0.169922,-0.437514,306,248,26,53,3.70
548,1,-0.142578,-0.765764,-0.923828,-1.636020,305,265,28,50,2.66
549,1,-0.712891,-1.446643,-0.294922,-0.717889,308,252,28,57,2.64
550,1,-0.097656,-0.376047,0.220703,-0.105949,304,272,25,51,1.91
551,1,-0.025391,-1.414885,-0.173828,-0.733344,308,273,24,52,2.60
552,1,-0.189453,-1.025727,-0.279297,-0.785574,186,262,25,53,2.59
553,1,-0.263672,-1.162547,-1.509766,-2.081029,250,261,29,53,3.74
554,1,-0.240234,-0.551947,-3.173828,-4.157236,262,265,26,56,2.58
555,1,-0.148438,-0.479484,-0.369141,-0.795510,262,267,30,64,1.49
556,1,-0.230469,-1.264289,-1.111328,-1.558879,270,259,25,54,2.59
557,1,-0.105469,-0.591365,-0.113281,-0.502594,257,254,25,52,1.47
558,1,-1.035156,-1.340002,-0.755859,-1.182619,268,248,27,51,3.13
559,1,-0.255859,-0.875076,0.250000,-0.142936,270,239,26,51,2.59
560,1,-1.314453,-1.501816,-0.230469,-0.654055,269,241,26,54,1.38
561,1,-0.591797,-0.917361,0.195312,-0.281750,263,248,24,50,3.25
562,1,-2.232422,-2.809869,-1.859375,-2.269729,259,239,26,53,3.67
563,1,-0.625000,-0.934348,-0.585938,-1.446924,265,233,27,56,1.98
564,1,0.058594,-0.209320,-0.970703,-1.452687,263,242,25,52,2.58
565,1,-0.931641,-1.531459,-0.884766,-1.900074,262,224,25,51,2.76
566,1,-0.445312,-0.737361,-1.146484,-1.794430,264,236,31,52,2.67
567,1,-0.091797,-0.703104,0.683594,0.011732,263,239,28,50,2.01
568,1,-0.378906,-0.755836,-0.478516,-1.092914,262,234,27,50,2.56
569,1,-0.455078,-0.993186,-0.611328,-1.273645,258,249,26,52,3.09
570,1,-1.123047,-1.601744,-0.560547,-1.223107,195,256,25,49,2.49
571,1,-1.322266,-2.181740,-1.126953,-1.552211,245,252,30,51,2.02
572,1,-0.412109,-0.744590,-0.613281,-1.088977,253,258,30,51,2.60
573,1,0.591797,0.117125,-0.363281,-0.827164,265,268,26,52,2.58
574,1,0.691406,0.413176,-3.015625,-3.744135,262,272,23,51,2.71
575,1,-1.113281,-1.757242,-0.205078,-0.604383,257,271,25,51,2.05
576,1,-0.585938,-1.158559,-0.589844,-1.057113,263,282,30,51,3.18
577,1,-0.519531,-1.385014,-1.291016,-2.049734,275,287,26,53,2.64
578,1,0.277344,-0.367070,-0.291016,-0.645070,278,293,30,56,2.62
579,1,0.005859,-0.817408,-0.730469,-1.274812,279,297,27,56,2.63
580,1,-0.255859,-0.819215,-1.324219,-1.631258,276,303,31,53,1.88
581,1,0.431641,-0.101145,-1.498047,-2.237291,268,289,30,49,3.12
582,1,-0.701172,-1.117824,-0.611328,-0.948512,273,280,30,52,3.15
583,1,0.277344,-0.026707,-1.533203,-1.868551,279,281,26,50,2.05
584,1,0.212891,-0.004111,-0.599609,-1.105678,274,278,24,49,2.57
585,1,-1.224609,-1.812768,-1.859375,-2.185518,282,291,26,50,2.11
586,1,-0.498047,-0.850717,-1.140625,-1.499596,287,303,26,53,2.06
587,1,-0.931641,-1.255150,0.398438,0.041373,284,286,28,57,1.49
588,1,-0.111328,-0.381361,-0.285156,-0.617674,292,292,25,53,2.12
589,1,-0.220703,-0.780871,-0.835938,-1.191475,294,288,25,57,2.66
590,1,-2.490234,-3.491445,-0.335938,-0.963006,291,271,29,51,3.02
591,1,-0.472656,-1.471830,-0.097656,-0.534953,291,267,29,55,2.73
592,1,-0.044922,-0.313822,-0.726562,-1.525510,289,278,31,53,2.58
593,1,0.345703,0.057078,-1.492188,-1.957641,291,276,27,50,2.62
594,1,0.070312,-0.373439,-1.205078,-1.542369,301,261,27,55,2.06
595,1,-0.048828,-0.327283,0.705078,0.216840,296,270,25,50,2.10
596,1,-1.179688,-1.979342,0.144531,-0.508734,285,269,24,50,2.62
597,1,1.027344,0.591205,0.265625,-0.214158,296,269,30,49,2.03
598,1,-0.003906,-0.407020,0.529297,-0.097770,288,273,26,48,2.60
599,1,-0.222656,-0.598283,-0.287109,-0.733686,298,271,30,51,1.49
600,1,0.142578,-0.912129,0.451172,0.004771,291,269,27,49,1.86
601,1,-0.603516,-1.165547,-1.105469,-1.464293,293,264,26,50,2.02
602,1,-0.144531,-0.440443,0.015625,-0.612766,299,243,26,48,1.47
603,1,-0.232422,-0.881701,1.326172,0.791988,299,245,30,52,2.55
